marker_ID,EC,Epi,Fib,IC,weight
4312,0.8997864580531301,0.0,0.8997864580531301,0.8997864580531301,0.8997864580531301
65124,,0.0,,,0.0
27111,0.7744151646886404,0.0,0.7744151646886404,0.7744151646886404,0.7744151646886404
3664,0.043416149423818766,0.0,0.043416149423818766,0.043416149423818766,0.043416149423818766
8000,0.6084291502812684,0.0,0.6084291502812684,0.6084291502812684,0.6084291502812684
132299,0.3514285714285714,0.0,0.3514285714285714,0.3514285714285714,0.3514285714285714
23584,0.5773450136967414,0.0,0.5773450136967414,0.5773450136967414,0.5773450136967414
11074,0.9166032895019567,0.0,0.9166032895019567,0.9166032895019567,0.9166032895019567
7803,,0.0,,,0.0
4071,0.0,0.78,0.78,0.78,0.78
3429,0.0,0.5792166453647069,0.5792166453647069,0.5792166453647069,0.5792166453647069
358,0.0,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885
641700,0.0,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401
7122,0.0,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045
6781,0.0,0.058897066486529315,0.058897066486529315,0.058897066486529315,0.058897066486529315
3569,0.0,0.1701842557021957,0.1701842557021957,0.1701842557021957,0.1701842557021957
2,0.0,0.9135720165548153,0.9135720165548153,0.9135720165548153,0.9135720165548153
22918,0.0,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496
168537,0.0,0.7504331019515231,0.7504331019515231,0.7504331019515231,0.7504331019515231
8519,0.0,,,,0.0
25937,0.0,0.566392560112367,0.566392560112367,0.566392560112367,0.566392560112367
8743,0.0,0.16703951957365112,0.16703951957365112,0.16703951957365112,0.16703951957365112
2022,0.0,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208
7378,0.0,,,,0.0
3428,0.0,,,,0.0
9976,0.0,0.7438376803028303,0.7438376803028303,0.7438376803028303,0.7438376803028303
23643,0.0,0.84,0.84,0.84,0.84
2697,0.0,0.41,0.41,0.41,0.41
7305,0.81,0.81,0.81,0.0,0.81
1880,0.75,0.75,0.75,0.0,0.75
1890,0.06838709677419355,0.06838709677419355,0.06838709677419355,0.0,0.06838709677419355
50486,0.024880952380952382,0.024880952380952382,0.024880952380952382,0.0,0.024880952380952382
58475,0.41,0.41,0.41,0.0,0.41
1520,0.76,0.76,0.76,0.0,0.76
10870,0.745,0.745,0.745,0.0,0.745
1522,0.4261904761904762,0.4261904761904762,0.4261904761904762,0.0,0.4261904761904762
6688,0.6975,0.6975,0.6975,0.0,0.6975
58191,0.065,0.065,0.065,0.0,0.065
968,0.44,0.44,0.44,0.0,0.44
5320,0.9299999999999999,0.9299999999999999,0.0,0.9299999999999999,0.9299999999999999
8076,0.8600000000000001,0.8600000000000001,0.0,0.8600000000000001,0.8600000000000001
6649,0.3639285714285714,0.3639285714285714,0.0,0.3639285714285714,0.3639285714285714
715,0.0325,0.0325,0.0,0.0325,0.0325
3488,0.5125,0.5125,0.0,0.5125,0.5125
6423,0.02,0.02,0.0,0.02,0.02
1805,0.885,0.885,0.0,0.885,0.885
94031,0.05348484848484848,0.05348484848484848,0.0,0.05348484848484848,0.05348484848484848
126393,0.46,0.46,0.0,0.46,0.46
2878,0.088,0.088,0.0,0.088,0.088
6590,0.79,0.79,0.0,0.79,0.79
2252,0.64,0.64,0.0,0.64,0.64
6876,0.49636363636363634,0.49636363636363634,0.0,0.49636363636363634,0.49636363636363634
54829,0.875,0.875,0.0,0.875,0.875
125,0.675,0.675,0.0,0.675,0.675
25890,0.45,0.45,0.0,0.45,0.45
10550,,,0.0,,0.0
7058,0.30500000000000005,0.30500000000000005,0.0,0.30500000000000005,0.30500000000000005
8483,0.7575,0.7575,0.0,0.7575,0.7575
286133,0.36500000000000005,0.36500000000000005,0.0,0.36500000000000005,0.36500000000000005
871,0.08033333333333333,0.08033333333333333,0.0,0.08033333333333333,0.08033333333333333
947,0.28,0.28,0.0,0.28,0.28
9235,0.8633333333333333,0.8633333333333333,0.0,0.8633333333333333,0.8633333333333333
10398,0.1652941176470588,0.1652941176470588,0.0,0.1652941176470588,0.1652941176470588
90843,,,0.0,,0.0
83871,0.8712500000000001,0.8712500000000001,0.0,0.8712500000000001,0.8712500000000001
23022,0.8766666666666667,0.8766666666666667,0.0,0.8766666666666667,0.8766666666666667
30851,,,0.0,,0.0
2098,,,0.0,,0.0
6342,,,0.0,,0.0
25915,,,0.0,,0.0
4735,,,0.0,,0.0
26521,,,0.0,,0.0
1781,,,0.0,,0.0
4724,,,0.0,,0.0
84266,,,0.0,,0.0
51699,,,0.0,,0.0
3880,0.20214285714285715,0.0,0.20214285714285715,0.20214285714285715,0.20214285714285715
10551,0.875,0.0,0.875,0.875,0.875
3875,0.31625,0.0,0.31625,0.31625,0.31625
