marker_ID,BE,EC,Fib,LE,Leu,SM
TALDO1,0.0,0.0,0.0,0.7738330131961416,0.9089968702563346,0.0
ARPC5,0.0,0.0,0.0,0.0,0.9718828900708083,0.0
HIGD2A,1.0665403054804592,0.0,0.0,0.9086199609830705,1.1728628014538998,0.0
TRA2B,0.0,0.0,0.0,0.0,0.8533754480669032,0.0
CAPZB,0.9340908284450167,0.0,0.0,0.0,1.1745860719797865,0.0
LAMTOR4,0.0,0.0,0.0,0.8748287350937952,1.0404322546365505,0.0
LOC51035,0.0,0.9432807333848124,0.0,0.0,1.0251738891968598,0.721365355667302
ZNF706,0.0,0.0,0.0,0.7056577860804889,0.9586238458775137,0.0
MSMB,0.0,0.0,0.0,4.627281973222325,0.0,0.0
KLK3,0.0,0.0,0.0,3.877585159219279,0.0,0.0
ACP3,0.0,0.0,0.0,3.086316581700051,0.0,0.0
AZGP1,0.0,0.0,0.0,2.7167333037667434,0.0,0.0
KLK2,0.0,0.0,0.0,2.572127628132745,0.0,0.0
CD24,0.0,0.0,0.0,1.9642170979467233,0.0,0.0
TSPAN8,0.0,0.0,0.0,1.873776841126703,0.0,0.0
FXYD3,1.6887102187630518,0.0,0.0,2.508585011672362,0.0,0.0
CLDN3,0.0,0.0,0.0,1.5753721899703963,0.0,0.0
PLA2G2A,0.0,0.0,0.0,1.0001521312816821,0.0,0.0
SEC11C,0.0,0.0,0.0,1.6563182616994379,0.0,0.0
ELF3,0.8075252600351746,0.0,0.0,2.0851719647468254,0.0,0.0
CPE,0.0,0.0,0.0,1.8929760723822062,0.0,1.5628492618427314
CLDN4,2.453343500933671,0.0,0.0,2.825301393915484,0.0,0.0
AQP3,1.3191531055456185,0.0,0.0,2.24915966779097,0.0,0.0
RDH11,0.0,0.0,0.0,1.4831064516035575,0.0,0.0
ALDH1A3,0.0,0.0,0.0,1.6578802630801002,0.0,0.0
CIB1,0.0,0.0,0.0,1.8191655473407735,0.0,0.0
TMPRSS2,0.0,0.0,0.0,1.3339900137769822,0.0,0.0
GDF15,0.0,0.0,0.0,1.017693319840193,0.0,0.0
AGR2,0.0,0.0,0.0,0.7477059679698086,0.0,0.0
DHRS7,0.0,0.0,0.0,1.3699448199405946,0.0,0.0
UQCRQ,0.9786798437996734,0.0,0.0,1.9018086709551347,0.0,0.0
TSTD1,0.9347465637101596,0.0,0.0,1.6067831437696414,0.0,0.0
TPD52,0.0,0.0,0.0,1.2880647799184948,0.0,0.0
NPDC1,0.0,1.3252930483401641,0.0,1.5062393973429502,0.0,0.0
SLC39A6,0.0,0.0,0.0,1.2831578428666708,0.0,0.0
SORD,0.0,0.0,0.0,0.890477709792973,0.0,0.0
LOC201895,0.0,0.0,0.0,1.3190238234377547,0.0,0.0
SLC44A4,0.0,0.0,0.0,1.120479808699199,0.0,0.0
LMO7,0.0,0.0,0.0,0.9910470744152264,0.0,0.0
ZG16B,0.0,0.0,0.0,1.322232702966614,0.0,0.0
H2AFJ,1.0877753581993235,0.0,0.0,1.7873288018115703,0.0,1.3138720108328932
DBI,0.0,0.0,0.0,1.7297759900224248,1.3035516891979546,0.0
