marker_ID,neuron,Oligo,Astro,OPC,Endo,Microglia
UTRN,0.0,0.0,0.0,0.0,1.8062861639171377,0.0
SLC7A1,0.0,0.0,0.0,0.0,1.6736986579761879,0.0
GNG11,0.0,0.0,0.0,0.0,1.4611662316489056,0.0
ADGRF5,0.0,0.0,0.0,0.0,1.5639933825935688,0.0
RPL10P16,0.0,0.0,0.0,0.0,1.8947143911406492,0.0
DCN,0.0,0.0,0.0,0.0,1.502689944640863,0.0
THSD4,0.0,0.0,0.0,0.0,1.6173365720210184,0.0
MT1E,0.0,0.0,0.0,0.0,1.6018030635562286,0.0
SPARC,0.0,0.0,0.0,0.0,1.5933697627485959,0.0
SLC9A3R2,0.0,0.0,0.0,0.0,1.5174597019774962,0.0
RPS27AP16,0.0,0.0,0.0,0.0,1.8801985734366906,0.0
STOM,0.0,0.0,0.0,0.0,1.4516497703799272,0.0
RPS16,0.0,0.0,0.0,0.0,1.8163452934120923,0.0
HLA-A,0.0,0.0,0.0,0.0,1.5356834435363667,0.0
RPL23A,0.0,0.0,0.0,0.0,1.8836165482176788,0.0
PDGFRB,0.0,0.0,0.0,0.0,1.5656641741815518,0.0
SRGN,0.0,0.0,0.0,0.0,1.2919239552806756,0.0
FLI1,0.0,0.0,0.0,0.0,1.4083001785044837,0.0
VIM,0.0,0.0,0.0,0.0,1.4427524292603735,0.0
ENG,0.0,0.0,0.0,0.0,1.3887083082740959,0.0
NOTCH3,0.0,0.0,0.0,0.0,1.2895329695264506,0.0
RPS18,0.0,0.0,0.0,0.0,1.8319259215438668,0.0
TPT1,0.0,0.0,0.0,0.0,1.8298368781515841,0.0
LEF1,0.0,0.0,0.0,0.0,1.2364017717307703,0.0
RPL30,0.0,0.0,0.0,0.0,1.8278616871104474,0.0
TACC1,0.0,0.0,0.0,0.0,1.7878135426857455,0.0
ELOVL7,0.0,0.0,0.0,0.0,1.4217042486965847,0.0
OOEP,0.0,0.0,0.0,0.0,1.801515996846071,0.0
SLCO2B1,0.0,0.0,0.0,0.0,1.2716506735098143,0.0
TIMP3,0.0,0.0,0.0,0.0,1.7524524932299528,0.0
VWF,0.0,0.0,0.0,0.0,1.2475203028874433,0.0
RPS11,0.0,0.0,0.0,0.0,1.7380149790227173,0.0
PRKCH,0.0,0.0,0.0,0.0,1.2454957537465166,0.0
AL136454,0.0,0.0,0.0,0.0,1.6333819096913285,0.0
COLEC12,0.0,0.0,0.0,0.0,1.116426386343487,0.0
EPS8,0.0,0.0,0.0,0.0,1.33365299298695,0.0
TMEM123,0.0,0.0,0.0,0.0,1.3433509391995488,0.0
APOLD1,0.0,0.0,0.0,0.0,1.194591606545783,0.0
