marker_ID,EC,Epi,Fib,IC
HCFC1R1,0.0,0.0,0.9252008527014342,0.0
COL4A2,0.0,0.0,0.773320078904105,0.0
LOXL1,0.0,0.0,0.3797043094811544,0.0
LGALS3BP,0.0,0.0,1.2067634921621715,0.0
IL32,0.0,0.0,0.7866000492362075,0.0
OAF,0.0,0.0,1.1156656521348225,0.0
SEMA3C,0.0,0.0,0.9216257103453789,0.0
AXL,0.0,0.0,0.7550956816237404,0.0
ADD3,0.0,0.0,0.9006149279117442,0.0
CRTAP,0.0,0.0,0.9101750189671514,0.0
TPM2,0.0,0.0,0.8558825328721144,0.0
TSPAN4,0.0,0.0,0.7503145465025507,0.0
PDLIM3,0.0,0.0,0.5016810332199408,0.0
MXRA8,0.0,0.0,0.6275955673773806,0.0
CREB5,0.0,0.0,0.429964342406323,0.0
DPYSL3,0.0,0.0,0.5642867973243648,0.0
RTL8C,0.0,0.0,0.8960281127188955,0.0
MYL9,0.0,0.0,0.8618200668109263,0.0
PPAP2A,0.0,0.0,0.8147223996643398,0.0
MYADM,0.0,0.0,0.9433048083705688,0.0
GPNMB,0.0,0.0,0.9379075870506068,0.0
ANTXR1,0.0,0.0,0.6492142449991674,0.0
COPZ2,0.0,0.0,0.5053712149647586,0.0
NFIC,0.0,0.0,0.7356948548415001,0.0
PAM,0.0,0.0,0.547099550444804,0.0
QSCN6,0.0,0.0,0.8619858643077086,0.0
UGP2,0.0,0.0,0.9388550611008728,0.0
GSTM3,0.0,0.0,0.5921519641723965,0.0
LOC201895,0.0,0.0,0.9748632978880466,0.0
IFI6,0.0,0.0,0.7482665892098664,0.0
TCEAL8,0.0,0.0,0.9514997661117661,0.0
NUCB2,0.0,0.0,0.45256636795097555,0.0
RAB34,0.0,0.0,0.7004314093619551,0.0
RBMS1,0.0,0.0,1.070172903854541,0.0
LOC92689,0.0,0.0,0.5976837222295821,0.0
PALLD,0.0,0.0,0.4617308608546643,0.0
YWHAH,0.0,0.0,0.9280900935744716,0.0
KDELR2,0.0,0.0,1.2280762319681018,0.0
PLEKHC1,0.0,0.0,0.45458325435224023,0.0
P4HB,0.0,0.0,0.9706781708153148,0.0
STMP1,0.0,0.0,1.0012890255736249,0.0
AP3S1,0.0,0.0,0.9502124347399454,0.0
RND3,0.0,0.0,0.9426886122914523,0.0
C4orf48,0.0,0.0,0.674182254242275,0.0
RAB32,0.0,0.0,0.614276295432816,0.0
TMEM167A,0.0,0.0,0.8226762390330675,0.0
TMEM230,0.0,0.0,1.0494311200786046,0.0
CTSL,0.0,0.0,0.5817782544108734,0.0
RHOBTB3,0.0,0.0,0.4886881614323676,0.0
B4GALT1,0.0,0.0,0.5962483890628152,0.0
C1orf21,0.0,0.0,0.6965274150942182,0.0
TRAM1,0.0,0.0,0.8505372438895131,0.0
MYDGF,0.0,0.0,1.1480609779514994,0.0
TAX1BP3,0.0,0.0,0.9516742045405635,0.0
TTC3,0.0,0.0,0.5798398707350025,0.0
PLD3,0.0,0.0,0.6334163537210484,0.0
SRM,0.0,0.0,0.8584569387754036,0.0
TUBB6,0.0,0.0,0.6297511648808671,0.0
ESD,0.0,0.0,0.9407746981954397,0.0
CAMLG,0.0,0.0,0.7821012220745237,0.0
ATP6AP2,0.0,0.0,0.7971771876525148,0.0
REX1BD,0.0,0.0,0.9298097950907535,0.0
DUT,0.0,0.0,0.8429407631626042,0.0
ADI1,0.0,0.0,1.054129775384891,0.0
LAMP1,0.0,0.0,0.8127714464831541,0.0
HIGD1A,0.0,0.0,0.7476171661147772,0.0
TMED9,0.0,0.0,0.9832682927179215,0.0
MTCH1,0.0,0.0,0.7553513164637529,0.0
NDFIP1,0.0,0.0,1.0327593440275988,0.0
