marker_ID,Acinar,Ductal,EC,Endocrine,IC,Stellate
192683,0.0,0.0,0.0,2.24285886851417,0.0,0.0
258010,0.0,0.0,0.0,2.47265228426763,0.0,0.0
10961,2.0266658012083814,2.859615886193116,0.0,3.6732063436509974,0.0,0.0
9500,0.0,0.0,0.0,2.9996294105314214,0.0,2.406602121284905
79006,0.0,0.0,0.0,2.6294746173702,0.0,0.0
4121,0.0,0.0,0.0,1.9167458749475939,0.0,0.0
22936,2.4183468213450072,0.0,0.0,2.9775962532987292,0.0,0.0
127687,0.0,0.0,0.0,3.0184887784435577,0.0,0.0
84987,0.0,0.0,0.0,2.8743921022993666,0.0,0.0
4925,0.0,0.0,0.0,2.057967900242665,0.0,0.0
54344,0.0,0.0,0.0,2.60588876304144,0.0,0.0
80762,0.0,1.6021081009744689,0.0,3.05474198942766,0.0,0.0
54386,0.0,0.0,0.0,2.40062757218681,0.0,0.0
10159,0.0,0.0,0.0,2.5253269576128736,0.0,0.0
401115,0.0,0.0,0.0,2.2550165909561164,0.0,0.0
11165,0.0,0.0,0.0,2.837701643205779,0.0,0.0
51126,1.819652432412207,0.0,0.0,2.7089250698744216,0.0,0.0
47,0.0,0.0,0.0,2.434544758631245,0.0,0.0
23466,0.0,0.0,0.0,2.7166931991399452,0.0,0.0
81552,0.0,0.0,0.0,2.6006880772950556,0.0,0.0
7001,0.0,2.405824153638583,0.0,3.052307666671911,0.0,2.1996886963797855
79001,0.0,2.613213874242239,0.0,3.300011053629764,0.0,2.9910620627414266
51374,0.0,2.1566435694841872,0.0,3.0260101435991995,0.0,2.1316272372035665
402,0.0,0.0,0.0,2.7114382351807147,0.0,0.0
4642,0.0,0.0,0.0,2.523138443639209,0.0,0.0
10456,1.7306334451418028,0.0,0.0,2.898181809557851,0.0,0.0
11345,0.0,0.0,2.7934816509695826,2.829245067277513,0.0,0.0
1267,0.0,0.0,0.0,2.3560189535639595,0.0,0.0
8775,0.0,0.0,0.0,2.415593167176637,0.0,0.0
10776,0.0,2.2032684414165478,0.0,2.7925511069458904,0.0,0.0
222068,0.0,0.0,0.0,2.4590212763617014,0.0,0.0
28972,1.7919972578395886,2.1794769994428878,0.0,3.0085378406715066,0.0,0.0
1611,2.6199204037422286,3.0999239872275703,0.0,3.5271703519358852,0.0,0.0
140735,0.0,0.0,0.0,2.4714884796703185,0.0,0.0
3858,0.0,0.0,0.0,2.6982065967894147,0.0,0.0
22818,2.460199246989422,2.709291202297208,0.0,3.3593540837576406,0.0,0.0
310,0.0,0.0,0.0,2.626279398304617,0.0,0.0
6745,0.0,0.0,0.0,2.6982065967894147,0.0,0.0
25793,0.0,0.0,0.0,2.676684551821724,0.0,0.0
23753,0.0,0.0,0.0,2.7229276941537366,0.0,2.5130450637056794
57515,0.0,1.2125484578394539,0.0,2.616081879445332,0.0,0.0
57062,0.0,0.0,0.0,2.566366778912227,0.0,0.0
1716,0.0,0.0,0.0,2.028918620500019,0.0,0.0
4708,1.5543102852853934,2.2756567886716965,0.0,2.940345636910554,0.0,0.0
51124,0.0,0.0,0.0,2.406213060636379,0.0,0.0
6342,0.0,0.0,0.0,2.0568430176514823,0.0,0.0
11258,0.0,0.0,0.0,2.481004685927589,0.0,0.0
23479,0.0,0.0,0.0,2.5246261198204683,0.0,0.0
497661,0.0,0.0,0.0,2.3957661608530243,0.0,0.0
54940,0.0,0.0,0.0,2.4995425320175864,0.0,0.0
25915,0.0,2.2514985098583415,0.0,2.8424282898847206,0.0,2.5130450637056794
4924,0.0,2.7237758722727694,0.0,2.8737825862018473,0.0,0.0
2029,0.0,0.0,0.0,2.1454665200159853,0.0,0.0
22836,1.6221823273771196,0.0,0.0,2.1925704332629903,0.0,0.0
23770,0.0,2.6493484221479338,0.0,2.7960628685958238,0.0,2.5289263593151983
100131187,1.4825610560551707,0.0,0.0,1.7328201917205543,0.0,0.0
29081,0.0,2.306183979513216,0.0,2.6149337260276515,0.0,0.0
3336,1.8672488535954845,2.2399747286612235,0.0,2.884190697762951,0.0,0.0
10907,1.3782104507154223,0.0,0.0,2.61187818020396,0.0,0.0
4695,0.0,1.8450491759495955,0.0,2.658680661029616,0.0,0.0
8766,0.0,2.2510348381453573,0.0,2.434624820601096,0.0,0.0
163,1.5487365453367383,2.777166948970876,0.0,2.8521824701188274,0.0,0.0
25824,1.3944988660844098,2.5782956910713875,0.0,2.605604414536,0.0,0.0
