marker_ID,CM,EC,FB,MP,SMC,weight
6678,0.046633120415021934,0.0,0.0,0.046633120415021934,0.0,0.046633120415021934
5159,0.3025070457888689,0.3025070457888689,0.0,0.3025070457888689,0.0,0.3025070457888689
55268,0.0,0.033936672379338895,0.0,0.033936672379338895,0.033936672379338895,0.033936672379338895
9590,0.6576617356201644,0.6576617356201644,0.0,0.6576617356201644,0.0,0.6576617356201644
2752,0.0,0.7249970237586538,0.0,0.0,0.7249970237586538,0.7249970237586538
83442,0.24662709598192523,0.24662709598192523,0.0,0.0,0.24662709598192523,0.24662709598192523
4921,0.8676396071280623,0.8676396071280623,0.0,0.8676396071280623,0.8676396071280623,0.8676396071280623
1281,0.6525388179447409,0.6525388179447409,0.0,0.6525388179447409,0.0,0.6525388179447409
26471,0.7710404384812783,0.7710404384812783,0.0,0.7710404384812783,0.0,0.7710404384812783
219348,0.25101371346469753,0.25101371346469753,0.0,0.25101371346469753,0.0,0.25101371346469753
2217,0.47158324183793204,0.47158324183793204,0.0,0.0,0.47158324183793204,0.47158324183793204
3115,0.37525694306935975,0.0,0.37525694306935975,0.0,0.37525694306935975,0.37525694306935975
397,0.94,0.94,0.94,0.0,0.94,0.94
7534,0.48883692759968794,0.48883692759968794,0.48883692759968794,0.0,0.48883692759968794,0.48883692759968794
1675,0.5968421921321027,0.5968421921321027,0.0,0.5968421921321027,0.5968421921321027,0.5968421921321027
5176,0.7419971136334578,0.7419971136334578,0.0,0.7419971136334578,0.7419971136334578,0.7419971136334578
10351,0.7297820130040555,0.7297820130040555,0.0,0.7297820130040555,0.7297820130040555,0.7297820130040555
3075,0.7173035734485255,0.7173035734485255,0.0,0.7173035734485255,0.7173035734485255,0.7173035734485255
718,0.5835689820236495,0.5835689820236495,0.0,0.5835689820236495,0.5835689820236495,0.5835689820236495
1293,0.7825930826507164,0.7825930826507164,0.0,0.7825930826507164,0.7825930826507164,0.7825930826507164
2200,0.3399919444800981,0.3399919444800981,0.0,0.3399919444800981,0.3399919444800981,0.3399919444800981
11167,0.4609586366716288,0.4609586366716288,0.0,0.4609586366716288,0.4609586366716288,0.4609586366716288
3912,0.0095609256426193,0.0095609256426193,0.0,0.0095609256426193,0.0095609256426193,0.0095609256426193
2012,0.52,0.52,0.0,0.52,0.52,0.52
1292,0.14089492297460177,0.14089492297460177,0.0,0.14089492297460177,0.14089492297460177,0.14089492297460177
5376,0.6086609214368442,0.6086609214368442,0.0,0.6086609214368442,0.6086609214368442,0.6086609214368442
3429,0.5792166453647069,0.0,0.0,0.5792166453647069,0.5792166453647069,0.5792166453647069
358,0.557120275326885,0.0,0.557120275326885,0.557120275326885,0.0,0.557120275326885
4071,0.78,0.0,0.78,0.78,0.78,0.78
2022,0.742288624065208,0.0,0.0,0.742288624065208,0.742288624065208,0.742288624065208
2,0.9135720165548153,0.0,0.9135720165548153,0.9135720165548153,0.0,0.9135720165548153
23345,0.0,0.0,0.8314374630126548,0.8314374630126548,0.8314374630126548,0.8314374630126548
4892,0.0,0.9137965230212797,0.9137965230212797,0.9137965230212797,0.9137965230212797,0.9137965230212797
845,0.0,0.8955184799799583,0.8955184799799583,0.8955184799799583,0.8955184799799583,0.8955184799799583
8988,0.0,0.8123861473200256,0.8123861473200256,0.8123861473200256,0.8123861473200256,0.8123861473200256
27145,0.0,0.5790395307327117,0.5790395307327117,0.5790395307327117,0.5790395307327117,0.5790395307327117
6345,0.0,0.7404679661241733,0.7404679661241733,0.7404679661241733,0.7404679661241733,0.7404679661241733
51650,0.0,0.09235012093712003,0.09235012093712003,0.09235012093712003,0.09235012093712003,0.09235012093712003
127294,0.0,0.3688236323604274,0.3688236323604274,0.3688236323604274,0.3688236323604274,0.3688236323604274
161247,0.0,0.6129655517896199,0.6129655517896199,0.6129655517896199,0.6129655517896199,0.6129655517896199
9086,0.0,0.1906674792584884,0.1906674792584884,0.1906674792584884,0.1906674792584884,0.1906674792584884
5507,0.0,0.022631578947368423,0.022631578947368423,0.022631578947368423,0.022631578947368423,0.022631578947368423
1653,0.0,0.07273804663641857,0.07273804663641857,0.07273804663641857,0.07273804663641857,0.07273804663641857
137735,0.0,0.8194750489744207,0.8194750489744207,0.8194750489744207,0.8194750489744207,0.8194750489744207
5264,0.0,0.5870924597633734,0.5870924597633734,0.5870924597633734,0.5870924597633734,0.5870924597633734
2274,0.0,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698
6123,0.0,0.5908747863937261,0.5908747863937261,0.5908747863937261,0.5908747863937261,0.5908747863937261
5621,0.0,0.7706267071910954,0.7706267071910954,0.7706267071910954,0.7706267071910954,0.7706267071910954
