marker_ID,EC,Epi_basal,Epi_stratified,Epi_suprabasal,Epi_upper,Fib,Gland,IC
PLAC8,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
SAMD9,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
PIM1,0.0,0.0,0.0,0.0,1.3862943649291992,0.0,0.0,0.0
FAM129B,0.0,0.0,0.6931471824645996,0.0,1.3862943649291992,0.0,0.0,0.0
SPRR1A,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
C5orf66-AS1,0.0,0.0,0.0,0.0,1.3862943649291992,0.0,0.0,0.0
CXCL17,0.0,0.0,0.6931471824645996,0.0,1.3862943649291992,0.0,0.0,0.0
TGM1,0.0,0.0,1.0986123085021973,0.0,1.6094379425048828,0.0,0.0,0.0
CCNG2,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
ST3GAL4,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
PDZK1IP1,0.0,0.0,0.6931471824645996,0.0,1.0986123085021973,0.0,0.0,0.0
SDCBP2,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
ANXA11,0.0,0.0,0.6931471824645996,0.0,1.3862943649291992,0.0,0.0,0.0
CAPN14,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
S100A12,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
CTNNBIP1,0.0,0.0,1.3862943649291992,0.6931471824645996,1.7917594909667969,0.0,0.0,0.0
UBL3,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
RHOD,0.0,0.0,0.6931471824645996,0.0,1.3862943649291992,0.0,0.0,0.0
C2orf54,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
SERPINB2,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
GCHFR,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
TAX1BP1,0.0,0.0,0.6931471824645996,0.0,1.3862943649291992,0.0,0.6931471824645996,0.0
C6orf132,0.0,0.0,0.6931471824645996,0.0,1.3862943649291992,0.0,0.0,0.0
KLK11,0.0,0.0,1.0986123085021973,0.0,1.3862943649291992,0.0,0.0,0.0
KLK10,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
UPP1,0.0,0.0,0.6931471824645996,0.0,1.0986123085021973,0.0,0.0,0.0
NUCB2,0.0,0.0,0.6931471824645996,0.0,1.3862943649291992,0.0,0.0,0.0
TSPAN6,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
GLTP,0.0,0.0,1.0986123085021973,0.6931471824645996,1.6094379425048828,0.0,0.0,0.0
IL18,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
CST6,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
ARF6,0.0,0.0,0.6931471824645996,0.6931471824645996,1.3862943649291992,0.0,0.0,0.0
MUC1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
PPP1CB,0.0,0.0,0.6931471824645996,0.0,1.2424533367156982,0.0,0.6931471824645996,0.0
C20orf24,0.0,0.0,0.6931471824645996,0.6931471824645996,1.3862943649291992,0.0,0.0,0.0
