stem_pluri,stem_adult,progenitor,cycling,secretory,immune,terminal,stromal,gsm,cohort,n_markers,resid_mae,status
0.0,0.21182227066415005,0.0,0.0,0.0,0.78817772933585,0.0,0.0,GSM1235804,GSE51057,795,0.12689975180326332,OK
0.0,0.15144912526217735,0.0,0.0,0.0,0.8485508747378226,0.0,0.0,GSM1235806,GSE51057,887,0.10912268883917928,OK
0.0,0.13325544859372834,0.0,0.0,0.0,0.8667445514062716,0.0,0.0,GSM1235809,GSE51057,821,0.1120254727995247,OK
0.0,0.13253938676206112,0.0,0.0,0.0,0.8674606132379389,0.0,0.0,GSM1235811,GSE51057,856,0.12165987426732804,OK
0.0,0.20431910417213628,0.0,0.0,0.0,0.7956808958278636,0.0,0.0,GSM1235812,GSE51057,816,0.11171470804129584,OK
0.0,0.19633725747743158,0.0,0.0,0.0,0.8036627425225684,0.0,0.0,GSM1235813,GSE51057,861,0.1079819673215168,OK
0.0,0.1949549121792774,0.0,0.0,0.0,0.8050450878207226,0.0,0.0,GSM1235815,GSE51057,825,0.11156622891179116,OK
0.0,0.19875959292974954,0.0,0.0,0.0,0.8012404070702506,0.0,0.0,GSM1235816,GSE51057,875,0.1045691682823493,OK
0.0,0.12658165386645492,0.0,0.0,0.0,0.8734183461335451,0.0,0.0,GSM1235817,GSE51057,819,0.11639026880345982,OK
0.0,0.1812650168484361,0.0,0.0,0.0,0.8187349831515639,0.0,0.0,GSM1235818,GSE51057,858,0.10627734469978248,OK
0.0,0.1706512653407043,0.0,0.0,0.0,0.8293487346592957,0.0,0.0,GSM1235819,GSE51057,865,0.10659014850339482,OK
0.023383161646480632,0.1819093957346719,0.018207399159461346,0.0,0.0,0.7765000434593863,0.0,0.0,GSM1235821,GSE51057,982,0.09197313489449391,OK
0.0,0.2256660638673244,0.0,0.0,0.0,0.7743339361326755,0.0,0.0,GSM1235824,GSE51057,904,0.1039272749330875,OK
0.0,0.21535541996743696,0.0,0.0,0.0,0.784644580032563,0.0,0.0,GSM1235826,GSE51057,879,0.1030788297129171,OK
0.0,0.1547795096946537,0.0,0.0,0.0,0.8452204903053463,0.0,0.0,GSM1235829,GSE51057,967,0.09663973205083805,OK
0.0,0.17278321204218156,0.0,0.0,0.0,0.8272167879578184,0.0,0.0,GSM1235830,GSE51057,825,0.11033433721559652,OK
0.0,0.2043055996501294,0.0,0.0,0.0,0.7956944003498705,0.0,0.0,GSM1235831,GSE51057,866,0.10455777515477023,OK
0.0,0.19059594511738265,0.0,0.0,0.0,0.8094040548826174,0.0,0.0,GSM1235836,GSE51057,972,0.09620887939140393,OK
0.0,0.17255485106454427,0.0,0.0,0.0,0.8274451489354557,0.0,0.0,GSM1235838,GSE51057,970,0.09355568995999129,OK
0.0,0.15854829888349886,0.0,0.0,0.0,0.8414517011165011,0.0,0.0,GSM1235850,GSE51057,859,0.10638000772842764,OK
0.0,0.17130221883547264,0.0,0.0,0.0,0.8286977811645274,0.0,0.0,GSM1235852,GSE51057,824,0.11994406058008474,OK
0.0,0.1864640035225864,0.0,0.0,0.0,0.8135359964774135,0.0,0.0,GSM1235858,GSE51057,973,0.09232644568549261,OK
0.0,0.19637588151577723,0.0,0.0,0.0,0.8036241184842228,0.0,0.0,GSM1235866,GSE51057,868,0.10366863791354192,OK
0.0,0.1833606359630754,0.0,0.0,0.0,0.8166393640369246,0.0,0.0,GSM1235870,GSE51057,982,0.09421249117431718,OK
0.0,0.17266623435372092,0.0,0.0,0.0,0.8273337656462791,0.0,0.0,GSM1235871,GSE51057,858,0.10755283641223508,OK
0.0,0.18691415079506607,0.0,0.0,0.0,0.8130858492049339,0.0,0.0,GSM1235873,GSE51057,974,0.09570085434856315,OK
0.0,0.19876236738545827,0.0,0.0,0.0,0.8012376326145417,0.0,0.0,GSM1235874,GSE51057,932,0.10106790235532762,OK
0.0,0.1948080767075554,0.0,0.0,0.0,0.8051919232924446,0.0,0.0,GSM1235875,GSE51057,855,0.10995898767663265,OK
0.0,0.2060963183301326,0.0,0.0,0.0,0.7939036816698674,0.0,0.0,GSM1235876,GSE51057,870,0.10673371973215778,OK
0.0,0.1811089309440147,0.0,0.0,0.0,0.8188910690559853,0.0,0.0,GSM1235883,GSE51057,860,0.10998031864083686,OK
0.0,0.19371666536213028,0.0,0.0,0.0,0.8062833346378697,0.0,0.0,GSM1235886,GSE51057,898,0.10781548966778606,OK
0.0,0.20078844355982828,0.0,0.0,0.0,0.7992115564401717,0.0,0.0,GSM1235887,GSE51057,885,0.10256858813812454,OK
0.0,0.13950663116958456,0.0,0.0,0.0,0.8604933688304155,0.0,0.0,GSM1235891,GSE51057,854,0.11398533829668545,OK
0.0,0.2017970850406875,0.0,0.0,0.0,0.7982029149593126,0.0,0.0,GSM1235897,GSE51057,897,0.09883834100052388,OK
0.0,0.1563564447884323,0.0,0.0,0.0,0.8436435552115676,0.0,0.0,GSM1235901,GSE51057,923,0.10123840846686878,OK
0.0,0.1860367853503624,0.0,0.0,0.0,0.8139632146496375,0.0,0.0,GSM1235904,GSE51057,917,0.1046988208447807,OK
0.0,0.20206359108441058,0.0,0.0,0.0,0.7979364089155894,0.0,0.0,GSM1235908,GSE51057,943,0.09973270493549155,OK
0.0,0.1506660557486842,0.0,0.0,0.0,0.8493339442513157,0.0,0.0,GSM1235911,GSE51057,872,0.1036203535100717,OK
0.0,0.20498053276368555,0.0,0.0,0.0,0.7950194672363144,0.0,0.0,GSM1235915,GSE51057,874,0.10270766602414097,OK
0.0,0.2072899697897405,0.0,0.0,0.0,0.7927100302102595,0.0,0.0,GSM1235922,GSE51057,905,0.09969963642939664,OK
0.0,0.21563130660214036,0.0,0.0,0.0,0.7843686933978598,0.0,0.0,GSM1235925,GSE51057,947,0.09416707737974804,OK
0.0,0.1917988710476447,0.0,0.0,0.0,0.8082011289523552,0.0,0.0,GSM1235926,GSE51057,971,0.09323411251924003,OK
0.0,0.19960167927301592,0.0,0.0,0.0,0.8003983207269841,0.0,0.0,GSM1235929,GSE51057,873,0.10206175746857095,OK
0.0,0.19450685731185324,0.0,0.0,0.0,0.8054931426881469,0.0,0.0,GSM1235930,GSE51057,889,0.10510408627098262,OK
0.0,0.22741786437766942,0.0,0.0,0.0,0.7725821356223307,0.0,0.0,GSM1235934,GSE51057,944,0.09443877923776516,OK
0.0,0.18911587378812822,0.0,0.0,0.0,0.8108841262118718,0.0,0.0,GSM1235935,GSE51057,967,0.09338343880671636,OK
0.0,0.18673274701463538,0.0,0.0,0.0,0.8132672529853646,0.0,0.0,GSM1235936,GSE51057,977,0.09329066282390909,OK
0.0,0.24098494919217556,0.0,0.0,0.0,0.7590150508078244,0.0,0.0,GSM1235939,GSE51057,946,0.0925822253788811,OK
0.0,0.1915379389905265,0.0,0.0,0.0,0.8084620610094735,0.0,0.0,GSM1235940,GSE51057,865,0.11077811951000044,OK
0.0,0.17044730851379974,0.0,0.0,0.0,0.8295526914862003,0.0,0.0,GSM1235941,GSE51057,918,0.10433832056211663,OK
0.0,0.18015958747415534,0.0,0.0,0.0,0.8198404125258446,0.0,0.0,GSM1235947,GSE51057,871,0.10170437362940282,OK
0.0,0.21231569467747424,0.0,0.0,0.0,0.7876843053225258,0.0,0.0,GSM1235949,GSE51057,974,0.0957457340037794,OK
0.0,0.189093694555323,0.0,0.0,0.0,0.810906305444677,0.0,0.0,GSM1235950,GSE51057,876,0.10850307009501711,OK
0.0,0.18375471877792815,0.0,0.0,0.0,0.8162452812220719,0.0,0.0,GSM1235953,GSE51057,872,0.11101976834580733,OK
0.0,0.16750152216479763,0.0,0.0,0.0,0.8324984778352024,0.0,0.0,GSM1235955,GSE51057,870,0.10769239882088628,OK
0.0,0.17917114809075763,0.0,0.0,0.0,0.8208288519092425,0.0,0.0,GSM1235962,GSE51057,821,0.10913999805497111,OK
0.0,0.1707640141288289,0.0,0.0,0.0,0.829235985871171,0.0,0.0,GSM1235963,GSE51057,882,0.10516519987057582,OK
0.0,0.18998616970568372,0.0,0.0,0.0,0.8100138302943163,0.0,0.0,GSM1235966,GSE51057,957,0.09600584698735419,OK
