marker_ID,EC,Epi,Lym,Mye,Stromal,weight
8837,0.7805555555555556,0.7805555555555556,0.0,0.7805555555555556,0.7805555555555556,0.7805555555555556
5284,0.845,0.0,0.845,0.845,0.845,0.845
644844,0.73,0.0,0.73,0.73,0.73,0.73
7103,0.92,0.0,0.92,0.92,0.92,0.92
3960,0.8827844869206665,0.0,0.8827844869206665,0.8827844869206665,0.8827844869206665,0.8827844869206665
5105,0.75,0.0,0.75,0.75,0.75,0.75
3875,0.31625,0.0,0.31625,0.31625,0.31625,0.31625
5967,0.8309215533261369,0.0,0.8309215533261369,0.8309215533261369,0.8309215533261369,0.8309215533261369
1999,0.8700000000000001,0.0,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001
2168,0.925,0.0,0.925,0.925,0.925,0.925
3856,0.6143809138531653,0.0,0.6143809138531653,0.6143809138531653,0.6143809138531653,0.6143809138531653
10551,0.875,0.0,0.875,0.875,0.875,0.875
4072,0.06428571428571428,0.0,0.06428571428571428,0.06428571428571428,0.06428571428571428,0.06428571428571428
5349,0.6161755028680032,0.0,0.6161755028680032,0.6161755028680032,0.6161755028680032,0.6161755028680032
2877,0.7866666666666666,0.0,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.7866666666666666
57402,0.8300055012965534,0.0,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534
3880,0.20214285714285715,0.0,0.20214285714285715,0.20214285714285715,0.20214285714285715,0.20214285714285715
7033,0.866,0.0,0.866,0.866,0.866,0.866
10653,0.0887254695,0.0,0.0887254695,0.0887254695,0.0887254695,0.0887254695
6192,0.4235261319454279,0.0,0.4235261319454279,0.4235261319454279,0.4235261319454279,0.4235261319454279
7122,0.0,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045
1397,0.0,0.8858333333333334,0.8858333333333334,0.8858333333333334,0.8858333333333334,0.8858333333333334
8436,0.0,0.7475,0.7475,0.7475,0.7475,0.7475
4071,0.0,0.78,0.78,0.78,0.78,0.78
3429,0.0,0.5792166453647069,0.5792166453647069,0.5792166453647069,0.5792166453647069,0.5792166453647069
8692,0.0,0.878,0.878,0.878,0.878,0.878
2022,0.0,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208
9351,0.0,0.060909090909090906,0.060909090909090906,0.060909090909090906,0.060909090909090906,0.060909090909090906
2012,0.0,0.52,0.52,0.52,0.52,0.52
2,0.0,0.9135720165548153,0.9135720165548153,0.9135720165548153,0.9135720165548153,0.9135720165548153
10203,0.0,0.1,0.1,0.1,0.1,0.1
