marker_ID,EC,Epi,Lym,Mye,Stromal
HLA-DRB5,0.0,0.0,0.0,2.6208186248893415,0.0
C1QA,0.0,0.0,0.0,2.405199907177258,0.0
C1QC,0.0,0.0,0.0,2.2335922215070942,0.0
AIF1,0.0,0.0,0.0,2.3042968822313554,0.0
C1QB,0.0,0.0,0.0,2.126506930258451,0.0
CTSB,0.0,0.0,0.0,2.224222300209311,0.0
MS4A6A,0.0,0.0,0.0,1.9759298892107475,0.0
LAPTM5,0.0,0.0,0.0,2.1524606507893584,0.0
HLA-DQB1,0.0,0.0,0.0,1.8562304934873313,0.0
HLA-DQA1,0.0,0.0,0.0,1.7494993750626822,0.0
CD68,0.0,0.0,0.0,1.6690739117772944,0.0
COTL1,0.0,0.0,0.0,1.9740293611205488,0.0
CTSS,0.0,0.0,0.0,1.9756326167134286,0.0
SPI1,0.0,0.0,0.0,1.5282513498452008,0.0
HLA-DMA,0.0,0.0,0.0,1.6152229197294359,0.0
CD163,0.0,0.0,0.0,1.0046686664761884,0.0
FGL2,0.0,0.0,0.0,1.468906443279913,0.0
C1orf162,0.0,0.0,0.0,1.3745601009675068,0.0
MAFB,0.0,0.0,0.0,1.1286928425859695,0.0
ITGB2,0.0,0.0,0.0,1.3488694667580254,0.0
ALOX5AP,0.0,0.0,0.0,1.417776660956988,0.0
MS4A7,0.0,0.0,0.0,0.9450993723221168,0.0
LCP1,0.0,0.0,0.0,1.5428327728190139,0.0
TYMP,0.0,0.0,0.0,1.3168087237672508,0.0
LST1,0.0,0.0,0.0,0.8969945113309762,0.0
RNF130,0.0,0.0,0.0,1.3378818487512083,0.0
VAMP8,0.0,0.0,0.0,1.7326273705368842,0.0
CPVL,0.0,0.0,0.0,0.7640344983735141,0.0
HCLS1,0.0,0.0,0.0,1.2331159711115716,0.0
ZEB2,0.0,0.0,0.0,0.6349864801700899,0.0
RGS2,0.0,0.0,0.0,0.9140167796047286,0.0
ASAH1,0.0,0.0,0.0,1.1906982731172397,0.0
ARPC5,0.0,0.0,0.0,1.6578638884356225,0.0
HCST,0.0,0.0,0.0,1.0348033547415154,0.0
ARRB2,0.0,0.0,0.0,0.7935535843805128,0.0
RGS10,0.0,0.0,0.0,0.9001020045242369,0.0
CTSZ,0.0,0.0,0.0,0.8043208068286549,0.0
ATP6V1F,0.0,0.0,0.0,1.2134827860782176,0.0
GMFG,0.0,0.0,0.0,1.0382080609019275,0.0
RHOG,0.0,0.0,0.0,0.8347361765766027,0.0
AKAP13,0.0,0.0,0.0,1.1963044281833062,0.0
ATP6V0C,0.0,0.0,0.0,0.777259684901864,0.0
CTSC,0.0,0.0,0.0,0.6126077727615333,0.0
CD44,0.0,0.0,0.0,0.9121409147501737,0.0
RNASET2,0.0,0.0,0.0,1.0654155568417951,0.0
GRB2,0.0,0.0,0.0,1.1078977813025377,0.0
SH3BGRL,0.0,0.0,0.0,1.1397063550170055,0.0
AP2S1,0.0,0.0,0.0,1.2011568516163005,0.0
CD37,0.0,0.0,0.0,0.8078178576504054,0.0
H2AFY,0.0,0.0,0.0,1.1283391978450021,0.0
CELF2,0.0,0.0,0.0,0.7863252561713238,0.0
PYCARD,0.0,0.0,0.0,0.9806209674097569,0.0
CAP1,0.0,0.0,0.0,1.269806569222339,0.0
ATP6V0B,0.0,0.0,0.0,1.2975401908636386,0.0
CMTM6,0.0,0.0,0.0,0.7113304336058978,0.0
SERPINB1,0.0,0.0,0.0,0.6122208520254544,0.0
TALDO1,0.0,0.0,0.0,0.6642539432765597,0.0
ZNF706,0.0,0.0,0.0,0.6847541419056519,0.0
ACTR2,0.0,0.0,0.0,0.9495455842297909,0.0
IQGAP1,0.0,0.0,0.0,0.7113304336058978,0.0
ACTR3,0.0,0.0,0.0,0.7621400520468967,0.0
GNB2,0.0,0.0,0.0,0.7300906957516295,0.0
SEC11A,0.0,0.0,0.0,0.8410986343348438,0.0
DAZAP2,0.0,0.0,0.0,0.9495455842297909,0.0
HIGD2A,0.0,0.0,0.0,1.1176346013772107,0.0
