gsm,arm,cohort,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
GSM1236004,hc,GSE51057,3.9184110630318436,-0.40612577958181256,-0.19972619571988387,-0.08840307664259954,0.0213608030420221,-0.08872142916794687,0.040107639598872154,-0.1364543232838109
GSM1236009,hc,GSE51057,0.4315058087250978,-0.38887617306596944,0.706701362376388,-0.5049383625850111,0.9101696480478637,0.43568439834530265,-0.20101004653779678,0.04946881162634921
GSM1236013,hc,GSE51057,2.8790330524543184,-0.8295036873166715,0.3250678883968144,-0.4966358583360387,0.207865583146919,-0.3531698135968132,0.018112866366064528,0.008115965763966901
GSM1236016,hc,GSE51057,6.542864899735454,-0.06611858749020653,-0.3687863146728696,-1.1866898190028468,0.6251317818663229,-0.2642622703173309,-0.058125531460582955,-0.17488044311427325
GSM1236018,hc,GSE51057,3.8706804711424287,0.2989859170552291,-0.5337143620617364,-0.8017677941609542,0.5296329473731441,-0.12320388549803163,-0.27442995902042283,-0.12877127412730444
GSM1236025,hc,GSE51057,-0.5176012475717188,1.1130427731420935,0.8477657984708391,-0.5941270522355159,0.034684747677853144,-0.2056671249033267,0.2853912760458221,-0.05230178143566076
GSM1236029,hc,GSE51057,0.34399331131638894,-0.28449354934316834,-0.8921144305553754,-0.039210800806366145,0.7036435663129125,-0.07100987351107071,0.08839226797819312,0.2609294972522188
GSM1236032,hc,GSE51057,1.7827265053498094,-0.46329684503259305,0.6992182744615532,-1.2621350063844456,0.42314649096925755,-0.012520194942456882,0.029094860329380596,0.02184937400232596
GSM1236043,hc,GSE51057,0.6872388198125795,0.018005280236040127,-0.3959192798300935,0.8945892805507927,0.059118235255001664,0.005782568681107828,0.11137745303670395,-0.025022236563083153
GSM1236046,hc,GSE51057,0.86851747269146,-1.0906034520573744,0.2434317938309683,-0.43875878119497697,-0.188392830945521,-0.1577705992168676,-0.01678387121586066,-0.19803069443963772
GSM1236048,hc,GSE51057,0.8322196827133248,0.4562527405372885,0.28377485119093265,0.2453476076962361,0.6995287142160456,-0.01760919877791179,0.13738464442229328,0.10845380485872153
GSM1236052,hc,GSE51057,-0.3333159141989029,0.5819947371589274,1.465873746558355,-0.3153700964060273,-0.055145136590285145,0.4689061897638662,0.21615622341670665,0.042913384840342114
GSM1236053,hc,GSE51057,1.3089205186122528,0.8238903723973103,-0.5450252041580067,-0.7858313329507467,0.22772483709588587,-0.20233861776498752,0.07094220660779202,-0.038108660176381245
GSM1236054,hc,GSE51057,-1.2425605278286302,-0.7037998433057348,0.25887894993066446,0.28772560679305736,-0.010358184579301107,0.26102586615295675,-0.04636867147386892,0.17551240791615627
GSM1236065,hc,GSE51057,1.9427852160747525,-0.7789324268771727,0.3465542887430427,0.013993818476988462,-0.40426677837301894,0.07471381054778263,-0.06877194147837605,-0.0009274798464707706
GSM1236067,hc,GSE51057,-0.247195033984606,-0.35262130047964035,0.15900508357924586,1.177821971279491,-0.3986164801057356,0.3880233923053723,0.17118609423271847,0.09891815645388884
GSM1236074,hc,GSE51057,4.423865373789866,-0.021895916356410413,-0.8347536833016558,-0.11499308275935509,0.35122402395673424,-0.2909718764889629,0.08262558192670692,0.020954240400185682
GSM1236084,hc,GSE51057,-0.7028150241656782,0.32485288120868233,0.9056186175840667,-0.5421627694475795,0.4773983686306952,0.3211161513144005,-0.07171672071299309,0.10316196088311365
GSM1236086,hc,GSE51057,0.3409544448484499,0.417906574385366,0.31690273345166464,-0.768961937140889,0.134127304239339,-0.003907514068498768,0.053894495405973956,0.048935075459816416
GSM1236107,hc,GSE51057,2.027740501693591,-0.8292827560214697,0.7863759515535083,0.38380496023737837,0.39986058234228883,0.21596845001355577,-0.1962230544003304,0.12888317057596566
GSM1236109,hc,GSE51057,0.2950664085772878,-0.5284850734646664,-0.03856809807202204,0.23990046416613123,0.22780512231319522,0.030831569339675735,0.2672874889229639,-0.05187881477387306
GSM1236110,hc,GSE51057,-0.10532465700741474,-0.8947135710828382,0.7681583918555684,-0.32425454575998025,0.3530008527415706,0.20621709532583232,0.1836414149054356,0.004177103884145637
GSM1236112,hc,GSE51057,0.2005270454843635,-0.48704653384419,0.4765593006341787,-0.9688623483819137,0.42115904782206975,-0.10484648495600114,0.04461131478977393,-0.19842096027079711
GSM1236113,hc,GSE51057,-1.1663524359416455,-0.8279285482456654,0.00039220266423813663,0.2829364355211598,0.46818374973560867,0.27719378231471564,0.007530750216566191,-0.05603940022405554
GSM1236115,hc,GSE51057,2.7008680306344437,-0.7620086887551375,-1.2468648022182762,0.5346728555773702,-0.1857283812218018,-0.061888435143348616,0.16669218074171022,0.1849153459636821
GSM1236119,hc,GSE51057,0.9893084365367005,-0.9637383685016192,0.587321176806075,-0.2209407767716044,0.15634621398682835,-0.443602294019669,0.16977158535430503,-0.1267075453448482
GSM1236131,hc,GSE51057,0.2458053717710138,-0.48478306216768313,0.3782782908125428,0.33517692090065765,-0.14450632524085136,-0.268094447374008,0.11026794430537035,-0.22386744118969246
GSM1236135,hc,GSE51057,1.4384256038280165,0.06832777800337858,-0.609895153915002,0.45963624346640564,0.17873841828502393,0.03687752643258492,0.011218946730549732,-0.015036959912403837
GSM1236136,hc,GSE51057,-0.7769995711513983,0.22479458779473102,0.02710199306023031,-0.5989202504932493,0.14890342983597152,0.3491423790475466,0.21226278844946556,0.04063974868354336
GSM1236142,hc,GSE51057,-4.848971937817384,-0.2539490182416198,-0.2954921869468263,-0.453415646414711,0.10411463396941541,0.1598798798033446,0.3127387713386099,-0.40108816060898306
GSM1236147,hc,GSE51057,0.8810660909665415,0.06688903361705537,-0.2992675047002613,-1.6747084501434355,-0.0761726528005352,0.0041623298356488194,0.04710977508854989,0.06479945716783729
GSM1236160,hc,GSE51057,-0.11912529027840905,0.2982410928666711,0.6940722983662341,-0.25528733517792623,0.250420656548191,0.04598696869055211,-0.016358034314911275,0.3097862846100568
GSM1236162,hc,GSE51057,0.39655158650529454,0.5953099715041542,-0.6663862601288754,-0.11848537859133691,-0.0031358888842593015,0.13038144339624055,0.004381985514662912,-0.032131624880799514
GSM1236167,hc,GSE51057,-0.7595506764083508,-0.017365191948092214,-0.059192083088923625,0.2367750649147731,0.7144149104649794,0.2968187466546072,0.26746176401484495,0.22572366785920983
GSM1236171,hc,GSE51057,-1.6510745760218548,-0.36564026493960117,-0.4048293966189051,0.43509163959186475,0.2208046633266126,-0.6566884970693182,-0.05688778780792936,-0.07247864388633803
GSM1236173,hc,GSE51057,2.5868107189281,-1.3533947958635406,0.8062291325455454,-0.28923050276041756,0.12191353721241695,0.20786060251123428,-0.0038080564655130988,-0.2915734189707384
GSM1236180,hc,GSE51057,-0.7851627331247449,0.2516765931602981,-0.3253678779772815,-1.1183919747929967,-0.4738992746799215,0.15805535986932343,0.3463702772267702,0.04657418290435207
GSM1236186,hc,GSE51057,1.9775905020867215,-0.07867756355028688,0.0004038505950861109,0.4351568472406697,0.25830763409844293,-0.1193453389128213,0.021208753548429604,0.015775271732300224
GSM1236192,hc,GSE51057,-0.3638535250213949,-0.7464230054096369,0.1891879280420671,0.30978808750009806,0.199130934143276,-0.2120047249503236,0.08067609720598681,0.03822853405431636
GSM1236195,hc,GSE51057,3.152815931420231,-0.5752941194031348,-0.15253397966098364,-0.1660639676423222,0.14496563672074936,0.012082394231921569,0.24539408362919163,0.045230487489054165
GSM1236196,hc,GSE51057,1.2745930604094848,-0.5749986562372112,0.3371487496340608,-0.39307797767961455,0.3012026029636538,0.19355794386793085,0.18578897881451228,-0.32943995941630067
GSM1236199,hc,GSE51057,1.110646775269544,-0.6413291102888529,-0.1792223387610413,-0.07202268930753515,-0.04535387056800819,-0.26168858439173803,-0.12796896887669987,0.06996455757177276
GSM1236205,hc,GSE51057,4.02080011940137,-0.5548143966702527,-0.20563022030485995,-0.1462885916635535,0.15326128196600464,-0.2981834182676522,-0.11010670474930942,-0.07591787648548416
