"","CM","EC","FB","MP","SMC","weight"
"55303",0.91,0,0.91,0,0.91,0.91
"153579",0.845,0,0.845,0.845,0.845,0.845
"79812",0.87,0,0.87,0.87,0.87,0.87
"947",0.28,0,0,0.28,0.28,0.28
"2157",0.0541176470588235,0,0.0541176470588235,0.0541176470588235,0.0541176470588235,0.0541176470588235
"7095",0.0243206920344373,0,0,0.0243206920344373,0.0243206920344373,0.0243206920344373
"10404",0.029375,0.029375,0,0.029375,0.029375,0.029375
"283383",0,0.8275,0,0.8275,0.8275,0.8275
"2252",0,0.64,0,0.64,0.64,0.64
"10550",0,0.00290656402401166,0,0.00290656402401166,0.00290656402401166,0.00290656402401166
"710",0.75,0.75,0,0.75,0,0.75
"10252",0.0288888888888889,0,0,0.0288888888888889,0,0.0288888888888889
"8722",0,0.88125,0,0.88125,0.88125,0.88125
"5320",0.93,0.93,0,0.93,0,0.93
"6277",0.0236363636363636,0.0236363636363636,0,0,0.0236363636363636,0.0236363636363636
"2878",0,0.088,0,0.088,0.088,0.088
"23741",0,0.0410204998943268,0,0.0410204998943268,0.0410204998943268,0.0410204998943268
"3320",0,0.034169886697411,0.034169886697411,0,0.034169886697411,0.034169886697411
"1522",0.426190476190476,0.426190476190476,0.426190476190476,0,0.426190476190476,0.426190476190476
"1997",0.365,0,0.365,0,0.365,0.365
"10398",0,0.165294117647059,0.165294117647059,0.165294117647059,0,0.165294117647059
"800",0.9,0.9,0,0.9,0,0.9
"11034",0,0.0282210793016236,0,0.0282210793016236,0,0.0282210793016236
"8404",0.58,0,0,0.58,0,0.58
"1465",0.801388888888889,0.801388888888889,0,0.801388888888889,0,0.801388888888889
"10395",0.776666666666667,0,0.776666666666667,0.776666666666667,0,0.776666666666667
"11142",0,0.108375899242747,0,0.108375899242747,0,0.108375899242747
"151230",0.039047619047619,0.039047619047619,0.039047619047619,0.039047619047619,0,0.039047619047619
"3488",0.5125,0.5125,0,0.5125,0,0.5125
"3280",0.0291666666666667,0.0291666666666667,0,0.0291666666666667,0,0.0291666666666667
"730",0.47,0.47,0,0.47,0.47,0.47
