marker_ID,Basal,Fib,Gland,Macro,NeuIm,NeuMa,Peri,Plasma,Tcell
RARRES3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2339783202483696
ID2,0.4244143757091746,0.0,0.8189646987627678,0.0,0.0,0.0,1.3148126964351579,0.0,1.8353482748604226
JCHAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.399477327984126,0.0
MZB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.667090238593518,0.0
IGLC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4860012090257406,0.0
IGHA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1406144916703527,0.0
CYBA,0.0,0.0,0.6361142825116171,2.60375143080192,0.0,0.0,0.0,2.621585057264649,1.9994071598581469
DERL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8351711877208992,0.0
IGLC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5005095228767446,0.0
SEC11C,0.0,0.0,1.1753543529726047,0.0,0.8076714208456717,1.0457279167756424,0.0,2.1230021690663343,0.0
FKBP11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9089535411951186,0.0
CD79A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4214853934989287,0.0
TNFRSF17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4352674096040734,0.0
XBP1,1.5363591667547654,0.0,1.7942638532066715,0.0,0.7341543403068838,0.44051900690395807,0.0,2.0458469692114454,0.0
PRDX4,0.0,0.0,0.7770691840001234,0.0,0.0,0.4075680672487467,0.20596267861523976,1.5268393888913703,0.0
ITM2C,0.6069323352859428,0.0,0.7169594323757564,0.0,0.0,0.0,0.0,1.539742021674912,0.0
ISG20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0730165039251633,0.0
CD27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8844725051028244,0.0
SDF2L1,0.0,0.0,0.0,0.0,0.4497562836344557,0.8325167727024614,0.0,1.0612262565259927,0.0
UBE2J1,0.0,0.0,0.0,0.0,0.0,0.4078383713190874,0.5226733273211792,1.1111954865061002,0.0
DNAJB9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951134587557174,0.0
SPCS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.040363207999517,0.0
MYDGF,0.0,0.0,0.7488555913573733,0.0,0.6309244131670251,0.4129095095601447,0.3210487470535993,1.1587760231933382,0.0
PIM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5926273359114319,0.0
CD38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6248980800258385,0.0
MANF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9597655602444668,0.0
CRELD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7979580946650529,0.0
TENT5C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6966319716484716,0.0
RRBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.6138104383234243,0.9260916083487487,0.0
EAF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5285054083907097,0.0
ERLEC1,0.0,0.0,0.45758201588480846,0.0,0.4029069860356643,0.5991079088558399,0.0,0.8809651925981767,0.0
FCRL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4405468837945591,0.0
SLAMF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4687172245689123,0.0
PRDM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4138078240514024,0.0
CYTOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927491065258756,0.0
LY96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5500576192077715,0.0
LMAN1,0.3310863886852979,0.0,0.0,0.0,0.0,0.0,0.0,0.8176080841356196,0.0
ANKRD28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5344234794425071,0.0
DUSP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49016838037734106,0.0
ICAM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5758458088428138,0.0
POU2AF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31763427215358186,0.0
GNG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43317906715397175,0.0
SDC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48578441866710953,0.0
CYTIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602091822172506,0.0
TXNDC11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4061763706290711,0.0
DDOST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6761735323039626,0.0
RPN2,0.4975602820563966,0.0,0.6416455350811124,0.0,0.5888185276105262,0.5697375656450738,0.0,0.8380845024660422,0.0
MEI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3140633506156593,0.0
SEL1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43614425987514904,0.0
CLPTM1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38476108922778857,0.0
TRAM1,0.5096550372749741,0.0,0.707813122163647,0.0,0.0,0.0,0.5652447268076234,0.9752645524098267,0.0
SPAG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23213312408853876,0.0
PDK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2750800432767453,0.0
KRTCAP2,0.0,0.0,0.0,0.0,0.0,0.2866717190929082,0.1883447067215983,0.6571029817038258,0.0
TXNDC15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5148849873703123,0.0
DNAJC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513951035114655,0.0
PDIA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5227292261539658,0.0
SEL1L3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33313456310353606,0.0
ANKRD37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3458488475150012,0.0
