marker_ID,neuron,Oligo,Astro,OPC,Endo,Microglia,weight
7345,0.0,0.12107090086646233,0.12107090086646233,0.12107090086646233,0.12107090086646233,0.12107090086646233,0.12107090086646233
5136,0.0,0.5550018794596179,0.5550018794596179,0.5550018794596179,0.5550018794596179,0.5550018794596179,0.5550018794596179
7070,0.0,0.6518542790402827,0.6518542790402827,0.6518542790402827,0.6518542790402827,0.6518542790402827,0.6518542790402827
80115,0.0,,,,,,0.0
7029,0.0,,,,,,0.0
166336,0.0,0.4066666666666667,0.4066666666666667,0.4066666666666667,0.4066666666666667,0.4066666666666667,0.4066666666666667
27067,0.0,,,,,,0.0
79953,0.04,0.04,0.04,0.04,0.04,0.0,0.04
285195,0.375,0.375,0.375,0.375,0.375,0.0,0.375
4154,0.0,0.6025,0.6025,0.6025,0.0,0.0,0.6025
6546,0.0,0.9025000000000001,0.9025000000000001,0.0,0.9025000000000001,0.0,0.9025000000000001
9452,0.3,0.3,0.3,0.3,0.0,0.3,0.3
56901,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456
3399,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857
10410,,,,,0.0,,0.0
800,0.9,0.9,0.9,0.9,0.0,0.9,0.9
9351,0.060909090909090906,0.060909090909090906,0.060909090909090906,0.060909090909090906,0.0,0.060909090909090906,0.060909090909090906
2040,,,,,0.0,,0.0
11309,0.825,0.825,0.825,0.825,0.0,0.825,0.825
10398,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.0,0.1652941176470588,0.1652941176470588
5332,0.024761904761904763,0.024761904761904763,0.024761904761904763,0.024761904761904763,0.0,0.024761904761904763,0.024761904761904763
27303,0.47,0.47,0.47,0.47,0.0,0.47,0.47
11343,0.1170242656449553,0.1170242656449553,0.1170242656449553,0.1170242656449553,0.0,0.1170242656449553,0.1170242656449553
1397,0.8858333333333334,0.8858333333333334,0.8858333333333334,0.8858333333333334,0.0,0.8858333333333334,0.8858333333333334
6277,0.023636363636363636,0.023636363636363636,0.023636363636363636,0.023636363636363636,0.0,0.023636363636363636,0.023636363636363636
1345,,,,,0.0,,0.0
6727,,,,,0.0,,0.0
3190,,,,,0.0,,0.0
51142,,,,,0.0,,0.0
347,0.815,0.0,0.815,0.0,0.815,0.815,0.815
114805,0.025833333333333337,0.025833333333333337,0.025833333333333337,0.0,0.025833333333333337,0.025833333333333337,0.025833333333333337
54453,0.9125,0.9125,0.9125,0.0,0.9125,0.9125,0.9125
64478,0.0,0.025833333333333333,0.025833333333333333,0.0,0.025833333333333333,0.0,0.025833333333333333
57502,0.0,0.044000000000000004,0.044000000000000004,0.0,0.044000000000000004,0.044000000000000004,0.044000000000000004
10082,0.0,0.02,0.02,0.0,0.02,0.02,0.02
2259,0.0,0.11,0.11,0.0,0.11,0.11,0.11
2898,0.0,0.35250000000000004,0.35250000000000004,0.0,0.35250000000000004,0.35250000000000004,0.35250000000000004
361,0.74,0.74,0.0,0.74,0.74,0.74,0.74
57224,0.13090909090909092,0.13090909090909092,0.0,0.13090909090909092,0.13090909090909092,0.13090909090909092,0.13090909090909092
202151,0.06,0.06,0.0,0.06,0.06,0.06,0.06
83733,0.6950000000000001,0.6950000000000001,0.0,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001
53919,0.5816666666666668,0.5816666666666668,0.0,0.5816666666666668,0.5816666666666668,0.5816666666666668,0.5816666666666668
23205,0.765,0.765,0.0,0.765,0.765,0.765,0.765
5992,0.028333333333333335,0.028333333333333335,0.0,0.028333333333333335,0.028333333333333335,0.028333333333333335,0.028333333333333335
57619,0.42,0.42,0.0,0.42,0.42,0.42,0.42
27115,0.13375,0.13375,0.0,0.13375,0.0,0.13375,0.13375
9934,0.74,0.74,0.0,0.74,0.74,0.74,0.74
5354,0.8674999999999999,0.0,0.8674999999999999,0.8674999999999999,0.8674999999999999,0.0,0.8674999999999999
9705,0.9113333333333333,0.0,0.9113333333333333,0.9113333333333333,0.9113333333333333,0.9113333333333333,0.9113333333333333
55314,0.255,0.0,0.255,0.255,0.255,0.255,0.255
1410,0.5025,0.0,0.5025,0.5025,0.5025,0.5025,0.5025
115584,0.8999999999999999,0.0,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999
5129,0.15214285714285714,0.0,0.15214285714285714,0.15214285714285714,0.15214285714285714,0.15214285714285714,0.15214285714285714
6285,0.5875,0.0,0.5875,0.5875,0.5875,0.5875,0.5875
8537,0.84,0.0,0.84,0.0,0.84,0.84,0.84
6035,0.875,0.0,0.875,0.875,0.0,0.875,0.875
1287,0.08285714285714287,0.0,0.08285714285714287,0.08285714285714287,0.08285714285714287,0.08285714285714287,0.08285714285714287
443,0.8899999999999999,0.0,0.8899999999999999,0.8899999999999999,0.8899999999999999,0.8899999999999999,0.8899999999999999
84735,0.91,0.0,0.91,0.91,0.91,0.91,0.91
81551,0.37,0.0,0.37,0.37,0.37,0.37,0.37
220965,0.01,0.0,0.01,0.01,0.01,0.01,0.01
5027,0.065,0.0,0.065,0.065,0.065,0.065,0.065
23040,0.0,0.8471428571428572,0.8471428571428572,0.8471428571428572,0.8471428571428572,0.8471428571428572,0.8471428571428572
23266,0.0,0.27,0.27,0.27,0.27,0.27,0.27
9215,0.0,0.024285714285714285,0.024285714285714285,0.024285714285714285,0.024285714285714285,0.024285714285714285,0.024285714285714285
815,0.0,0.41214285714285714,0.41214285714285714,0.41214285714285714,0.41214285714285714,0.41214285714285714,0.41214285714285714
54914,0.0,,,,,,0.0
23426,0.0,0.576875,0.576875,0.576875,0.576875,0.576875,0.576875
1006,0.0,0.073,0.073,0.073,0.073,0.073,0.073
2596,0.0,0.14750000000000002,0.14750000000000002,0.14750000000000002,0.14750000000000002,0.14750000000000002,0.14750000000000002
90523,0.0,0.81,0.81,0.81,0.81,0.81,0.81
6638,0.0,,,,,,0.0
3423,0.0,,,,,,0.0
84502,0.0,0.265625,0.265625,0.265625,0.265625,0.265625,0.265625
29906,0.0,0.03090909090909091,0.03090909090909091,0.03090909090909091,0.03090909090909091,0.03090909090909091,0.03090909090909091
10439,0.0,0.25833333333333336,0.25833333333333336,0.25833333333333336,0.25833333333333336,0.25833333333333336,0.25833333333333336
10231,0.0,0.158,0.158,0.158,0.158,0.158,0.158
10687,0.0,0.023,0.023,0.023,0.023,0.023,0.023
770,0.0,0.24122222222222223,0.24122222222222223,0.24122222222222223,0.24122222222222223,0.24122222222222223,0.24122222222222223
54536,0.0,0.94,0.94,0.94,0.94,0.94,0.94
22920,0.0,0.029954545454545456,0.029954545454545456,0.029954545454545456,0.029954545454545456,0.029954545454545456,0.029954545454545456
29114,0.0,0.24,0.24,0.24,0.24,0.24,0.24
5048,0.0,,,,,,0.0
5926,0.0,0.1175,0.1175,0.1175,0.1175,0.1175,0.1175
2785,0.0,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667
5532,0.0,,,,,,0.0
160518,0.0,0.027333333333333334,0.027333333333333334,0.027333333333333334,0.027333333333333334,0.027333333333333334,0.027333333333333334
84253,0.0,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375
80167,0.0,0.043333333333333335,0.043333333333333335,0.043333333333333335,0.043333333333333335,0.043333333333333335,0.043333333333333335
55788,0.0,,,,,,0.0
8491,0.0,,,,,,0.0
23081,0.0,0.2982352941176471,0.2982352941176471,0.2982352941176471,0.2982352941176471,0.2982352941176471,0.2982352941176471
84188,0.0,,,,,,0.0
10464,0.0,0.03857142857142857,0.03857142857142857,0.03857142857142857,0.03857142857142857,0.03857142857142857,0.03857142857142857
79870,0.0,0.10871929824561403,0.10871929824561403,0.10871929824561403,0.10871929824561403,0.10871929824561403,0.10871929824561403
6453,0.0,0.03,0.03,0.03,0.03,0.03,0.03
