marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal
ATP5I,0.0,1.0419043402570116,1.0663514264498883,0.0,0.8263877884089379,1.228568169461241,0.0
METTL9,0.0,0.0,0.0,0.0,0.2690627521813079,0.4730308577200365,0.0
MGAT1,0.0,0.0,0.0,0.0,0.731150855444003,0.7600937616258494,0.0
SLC25A5,0.0,1.5461959028676575,0.0,0.0,1.4814173970228866,1.559662531055321,0.0
HMGB2,0.0,0.0,0.0,0.0,0.37759960006685206,0.5928081962573537,0.0
SUPT4H1,0.0,0.0,0.0,0.0,0.8164416600899026,0.8743968010081613,0.0
YWHAZ,0.0,0.6445991372353126,1.061751816765584,0.0,0.9953637772957159,1.1409367212081383,0.0
TOMM6,0.0,0.99926935281308,1.013977403087639,0.0,1.1361045758456672,1.224057857663674,0.0
IQGAP1,0.0,0.0,0.0,0.0,0.649162663240796,0.6982865076374736,0.0
PPP1CB,0.0,0.5036501175970916,0.0,0.0,0.46637980330121753,0.8938244417300604,0.8401246347258122
COX7B,0.0,1.1484056213032057,1.0582997284908273,0.0,1.34858785414803,1.379767531423206,0.0
ANP32B,0.0,0.6035590670324456,0.0,0.0,0.8687181704835376,0.9667787485522553,0.0
USMG5,0.0,1.0417856157718908,1.0991459066103344,0.0,1.2006425758667014,1.3092603246189356,0.0
SEC61G,0.0,1.1245353646947782,0.670306428079433,0.0,0.9337080288745144,1.2176546538760114,0.0
ARF5,0.0,1.0415186181975202,0.0,0.0,0.8323443107201453,1.2176546538760114,0.0
PGAM1,0.0,0.0,0.0,0.0,0.8484678230055571,0.8889028989758997,0.0
MBNL1,0.0,0.0,0.0,0.0,0.3680190351404682,0.4182619803663093,0.0
MSN,0.0,0.15315279962580303,0.0,0.0,0.8881654308106078,1.054628143594691,0.0
TBCA,0.0,1.0977465895737026,0.0,0.0,1.1530825900845407,1.2496467303861598,0.8008554964643823
PET100,0.0,0.7736254032522265,0.0,0.0,0.7557060293303438,0.9113394884249522,0.0
EIF2S3,0.0,0.0,0.0,0.0,0.42571663743550464,0.5809711314845194,0.0
SNRPE,0.0,0.7412917282179068,0.0,0.0,0.7093835484014561,0.8779964735685011,0.0
UXT,0.0,0.7496790182457416,0.0,0.0,0.8189646987627678,0.9288626217307198,0.0
UBXN1,0.0,0.6408583807834727,0.0,0.0,0.7826982728263078,0.9904349691988107,0.0
NDUFA2,0.0,0.844167299758307,0.0,0.0,0.7596979927614881,0.8839553512312186,0.0
TMEM258,0.0,1.0944298663305492,1.086494121406904,0.0,0.9747041159120055,1.1931337322115763,0.0
SYF2,0.0,0.0,0.0,0.0,0.5526139507054355,0.6593937093115213,0.0
NDUFA3,0.0,0.6718628925733401,0.0,0.0,0.7992692934063942,0.8258678068053213,0.0
NDUFS6,0.0,0.8811859623025589,0.0,0.0,0.8544624372924337,0.9488903402712977,0.0
