,BE,EC,Fib,LE,Leu,SM,weight
5621,nan,nan,0.0,nan,nan,nan,0.0
558,0.02,0.02,0.0,0.02,0.02,0.0,0.02
3959,nan,nan,0.0,nan,nan,nan,0.0
7803,nan,nan,0.0,nan,nan,nan,0.0
8572,0.0,0.03200140972607659,0.0,0.03200140972607659,0.03200140972607659,0.03200140972607659,0.03200140972607659
3429,0.5792166453647069,0.0,0.5792166453647069,0.5792166453647069,0.5792166453647069,0.5792166453647069,0.5792166453647069
7122,0.8970095005763045,0.0,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045
22918,0.6015441923324496,0.0,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496
6781,0.058897066486529315,0.0,0.058897066486529315,0.058897066486529315,0.058897066486529315,0.058897066486529315,0.058897066486529315
25937,0.566392560112367,0.0,0.566392560112367,0.566392560112367,0.566392560112367,0.566392560112367,0.566392560112367
2012,0.52,0.0,0.0,0.52,0.52,0.52,0.52
6678,nan,0.0,0.0,nan,nan,0.0,0.0
8837,0.7805555555555556,0.0,0.7805555555555556,0.7805555555555556,0.0,0.7805555555555556,0.7805555555555556
641700,0.6027776436466401,0.0,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401
5376,0.6086609214368442,0.0,0.0,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.6086609214368442
9976,0.7438376803028303,0.0,0.7438376803028303,0.7438376803028303,0.0,0.7438376803028303,0.7438376803028303
5872,nan,0.0,nan,0.0,nan,nan,0.0
2697,0.41,0.0,0.41,0.41,0.41,0.41,0.41
4258,0.0,0.0,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664
3872,0.0,0.7155623912165989,0.7155623912165989,0.7155623912165989,0.7155623912165989,0.7155623912165989,0.7155623912165989
4070,0.0,0.29266189749056304,0.29266189749056304,0.0,0.29266189749056304,0.29266189749056304,0.29266189749056304
3866,0.0,0.7039312603455276,0.7039312603455276,0.7039312603455276,0.7039312603455276,0.7039312603455276,0.7039312603455276
2810,0.0,0.7221118247875102,0.7221118247875102,0.0,0.7221118247875102,0.7221118247875102,0.7221118247875102
3852,0.0,0.8081074017886702,0.8081074017886702,0.8081074017886702,0.8081074017886702,0.8081074017886702,0.8081074017886702
2274,0.0,nan,nan,nan,nan,nan,0.0
3856,0.0,0.6143809138531653,0.6143809138531653,0.0,0.6143809138531653,0.6143809138531653,0.6143809138531653
25984,0.0,0.6949243561158165,0.6949243561158165,0.6949243561158165,0.6949243561158165,0.6949243561158165,0.6949243561158165
