marker_ID,Acinar,Ductal,EC,Endocrine,IC,Stellate,weight
5777,0.4619868475646887,0.4619868475646887,0.4619868475646887,0.4619868475646887,0.0,0.4619868475646887,0.4619868475646887
2217,,,,,0.0,,0.0
3071,0.8128358454689515,0.8128358454689515,0.8128358454689515,0.8128358454689515,0.0,0.8128358454689515,0.8128358454689515
427,,,,,0.0,,0.0
3059,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.0,0.7864910425730678,0.7864910425730678
6447,0.31913104711215856,0.31913104711215856,0.31913104711215856,0.0,0.31913104711215856,0.31913104711215856,0.31913104711215856
5066,,,,0.0,,,0.0
7345,0.12107090086646233,0.12107090086646233,0.12107090086646233,0.0,0.12107090086646233,0.12107090086646233,0.12107090086646233
22861,0.6572385685878366,0.6572385685878366,0.6572385685878366,0.0,0.6572385685878366,0.6572385685878366,0.6572385685878366
6542,0.27330288249078194,0.27330288249078194,0.27330288249078194,0.0,0.27330288249078194,0.27330288249078194,0.27330288249078194
56521,0.2160594236781734,0.2160594236781734,0.2160594236781734,0.0,0.2160594236781734,0.2160594236781734,0.2160594236781734
7991,0.2588118267186796,0.2588118267186796,0.2588118267186796,0.0,0.2588118267186796,0.2588118267186796,0.2588118267186796
6781,0.058897066486529315,0.058897066486529315,0.0,0.058897066486529315,0.058897066486529315,0.058897066486529315,0.058897066486529315
22918,0.6015441923324496,0.6015441923324496,0.0,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496
2012,0.52,0.52,0.0,0.52,0.52,0.52,0.52
54538,0.6989951903401838,0.6989951903401838,0.0,0.6989951903401838,0.6989951903401838,0.6989951903401838,0.6989951903401838
7122,0.8970095005763045,0.8970095005763045,0.0,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045
3429,0.5792166453647069,0.5792166453647069,0.0,0.5792166453647069,0.5792166453647069,0.5792166453647069,0.5792166453647069
3910,0.3411499783696344,0.3411499783696344,0.0,0.3411499783696344,0.3411499783696344,0.3411499783696344,0.3411499783696344
25937,0.566392560112367,0.566392560112367,0.0,0.566392560112367,0.566392560112367,0.566392560112367,0.566392560112367
641700,0.6027776436466401,0.6027776436466401,0.0,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401
340061,0.90125,0.90125,0.0,0.90125,0.90125,0.90125,0.90125
7378,,,0.0,,,,0.0
9535,0.8350633117130937,0.8350633117130937,0.0,0.8350633117130937,0.8350633117130937,0.8350633117130937,0.8350633117130937
2995,0.5969758988045732,0.5969758988045732,0.0,0.5969758988045732,0.5969758988045732,0.5969758988045732,0.5969758988045732
4070,0.0,0.0,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304
3934,0.0,0.0,0.8278273797763644,0.8278273797763644,0.8278273797763644,0.8278273797763644,0.8278273797763644
4071,0.0,0.0,0.0,0.78,0.78,0.78,0.78
3856,0.0,0.0,0.6143809138531653,0.6143809138531653,0.6143809138531653,0.6143809138531653,0.6143809138531653
718,0.5835689820236495,0.0,0.5835689820236495,0.5835689820236495,0.5835689820236495,0.5835689820236495,0.5835689820236495
5652,0.0,0.0,0.4485575347825703,0.4485575347825703,0.4485575347825703,0.4485575347825703,0.4485575347825703
11135,0.0,0.0,,,,,0.0
64129,0.1632138375250183,0.0,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.1632138375250183
57402,0.8300055012965534,0.0,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534
10158,0.0,0.0,0.5845744513343986,0.5845744513343986,0.5845744513343986,0.5845744513343986,0.5845744513343986
3918,0.33315136823183045,0.0,0.33315136823183045,0.33315136823183045,0.33315136823183045,0.33315136823183045,0.33315136823183045
6692,0.0,0.0,0.29382926904833334,0.29382926904833334,0.29382926904833334,0.29382926904833334,0.29382926904833334
5104,0.3517922553527776,0.0,0.3517922553527776,0.3517922553527776,0.3517922553527776,0.3517922553527776,0.3517922553527776
3914,0.0,0.0,0.6380300959605266,0.6380300959605266,0.6380300959605266,0.6380300959605266,0.6380300959605266
3960,0.8827844869206665,0.0,0.8827844869206665,0.8827844869206665,0.8827844869206665,0.8827844869206665,0.8827844869206665
6768,0.0,0.0,0.11194470101135495,0.11194470101135495,0.11194470101135495,0.11194470101135495,0.11194470101135495
824,0.0,0.0,0.9067800212305477,0.9067800212305477,0.9067800212305477,0.9067800212305477,0.9067800212305477
7534,0.0,0.0,,,,0.0,0.0
57111,0.5620347055258742,0.0,0.5620347055258742,0.5620347055258742,0.5620347055258742,0.5620347055258742,0.5620347055258742
9414,,0.0,,,,,0.0
132299,0.0,0.0,0.3514285714285714,0.3514285714285714,0.3514285714285714,0.3514285714285714,0.3514285714285714
55970,,0.0,,,,,0.0
3959,,0.0,,0.0,,0.0,0.0
10653,0.0,0.0,0.0887254695,0.0,0.0887254695,0.0887254695,0.0887254695
5127,0.3171891645634356,0.0,0.3171891645634356,0.3171891645634356,0.3171891645634356,0.3171891645634356,0.3171891645634356
10136,0.0,0.8009719264741847,0.8009719264741847,0.8009719264741847,0.8009719264741847,0.8009719264741847,0.8009719264741847
1358,0.0,0.9048689291408852,0.9048689291408852,0.9048689291408852,0.9048689291408852,0.9048689291408852,0.9048689291408852
57085,0.0,,,,,,0.0
837,0.0,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325
123036,0.0,0.8993706937327908,0.8993706937327908,0.8993706937327908,0.8993706937327908,0.8993706937327908,0.8993706937327908
3843,0.0,,,,,,0.0
800,0.9,0.9,0.9,0.9,0.9,0.0,0.9
3624,0.85,0.85,0.85,0.85,0.85,0.0,0.85
3488,0.5125,0.5125,0.5125,0.5125,0.5125,0.0,0.5125
2331,0.559375,0.559375,0.559375,0.559375,0.559375,0.0,0.559375
94031,0.05348484848484848,0.05348484848484848,0.05348484848484848,0.05348484848484848,0.05348484848484848,0.0,0.05348484848484848
1909,0.7683333333333333,0.7683333333333333,0.7683333333333333,0.7683333333333333,0.7683333333333333,0.0,0.7683333333333333
10398,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.0,0.1652941176470588
196740,0.03,0.03,0.03,0.03,0.03,0.0,0.03
3554,0.89,0.89,0.89,0.89,0.89,0.0,0.89
83871,0.8712500000000001,0.8712500000000001,0.8712500000000001,0.8712500000000001,0.8712500000000001,0.0,0.8712500000000001
64943,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.0,0.8533333333333334
5202,,,,,,0.0,0.0
7305,0.81,0.81,0.81,0.81,0.0,0.81,0.81
54,0.522,0.522,0.522,0.522,0.0,0.522,0.522
3936,0.91,0.91,0.91,0.91,0.0,0.91,0.91
6688,0.6975,0.6975,0.6975,0.6975,0.0,0.6975,0.6975
714,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.0,0.8866666666666667,0.8866666666666667
4046,0.9066666666666667,0.9066666666666667,0.9066666666666667,0.9066666666666667,0.0,0.9066666666666667,0.9066666666666667
11314,0.425,0.425,0.425,0.425,0.0,0.425,0.425
1520,0.76,0.76,0.76,0.76,0.0,0.76,0.76
7351,0.02654761904761905,0.02654761904761905,0.02654761904761905,0.02654761904761905,0.0,0.02654761904761905,0.02654761904761905
7276,0.91,0.91,0.91,0.0,0.91,0.91,0.91
2878,0.088,0.088,0.088,0.0,0.088,0.0,0.088
3423,,,,0.0,,,0.0
6638,,0.0,,0.0,,,0.0
486,0.7,0.7,0.7,0.0,0.7,0.7,0.7
