marker_ID,EC,Fib,Kera_diff,Kera_undiff,Macro,Mela,Tcell,weight
3119,0.06620392761324126,0.06620392761324126,0.06620392761324126,0.06620392761324126,0.0,0.06620392761324126,0.06620392761324126,0.06620392761324126
5552,0.6956465413453106,0.6956465413453106,0.6956465413453106,0.6956465413453106,0.0,0.6956465413453106,0.0,0.6956465413453106
4069,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.0,0.8200652981348844,0.8200652981348844,0.8200652981348844
2207,0.895074651733345,0.895074651733345,0.895074651733345,0.895074651733345,0.0,0.895074651733345,0.895074651733345,0.895074651733345
199,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.0,0.6779539196068811,0.6779539196068811,0.6779539196068811
5329,0.08893006765046929,0.08893006765046929,0.08893006765046929,0.08893006765046929,0.0,0.08893006765046929,0.08893006765046929,0.08893006765046929
3108,,,,,0.0,,,0.0
3957,0.5667023528004402,0.5667023528004402,0.5667023528004402,0.5667023528004402,0.0,0.5667023528004402,0.5667023528004402,0.5667023528004402
3553,0.5816740237503185,0.5816740237503185,0.5816740237503185,0.5816740237503185,0.0,0.5816740237503185,0.5816740237503185,0.5816740237503185
1535,,0.0,,,0.0,0.0,0.0,0.0
5996,0.880980164152612,0.880980164152612,0.880980164152612,0.880980164152612,0.0,0.880980164152612,0.880980164152612,0.880980164152612
8530,0.8178585434910726,0.8178585434910726,0.8178585434910726,0.8178585434910726,0.0,0.8178585434910726,0.8178585434910726,0.8178585434910726
8837,0.7805555555555556,0.7805555555555556,0.7805555555555556,0.7805555555555556,0.0,0.7805555555555556,0.7805555555555556,0.7805555555555556
3852,0.8081074017886702,0.8081074017886702,0.0,0.0,0.8081074017886702,0.0,0.8081074017886702,0.8081074017886702
4070,0.29266189749056304,0.29266189749056304,0.0,0.0,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304
9982,0.44809325028655855,0.44809325028655855,0.0,0.0,0.44809325028655855,0.44809325028655855,0.44809325028655855,0.44809325028655855
