marker_ID,Chol,EC,Hep,Kup,Lym
CHCHD10,0.5280683794032877,0.0,2.8051505155967513,0.0,0.0
ECHS1,0.41187970891668546,0.0,2.496763932706673,0.0,0.0
ATF5,0.0,0.0,2.292889974838966,0.0,0.0
APOA5,0.0,0.0,2.2823490020264754,0.0,0.0
AHSG,0.0,0.0,2.1826784433439848,0.0,0.0
ITIH1,0.0,0.0,2.1548217359360256,0.0,0.0
CFH,0.0,0.0,2.1495333124430207,0.0,0.0
TDO2,0.0,0.0,2.2128224973723936,0.0,0.0
HMGCS2,0.0,0.0,2.1688989383253023,0.0,0.0
HAMP,0.0,0.0,1.8624007728431282,0.0,0.0
ACSM2B,0.0,0.0,2.1218501035097015,0.0,0.0
SERPINF2,0.0,0.0,2.0543395871910786,0.0,0.0
ASGR1,0.0,0.0,2.201577336369947,0.0,0.0
ACSL1,0.0,0.0,2.237064268226773,0.0,0.0
C8G,0.0,0.0,2.0813349720936984,0.0,0.0
PCK1,0.0,0.0,2.176227978769985,0.0,0.0
TMEM176B,0.0,0.0,2.1961426433994915,0.0,0.0
APOC2,0.0,0.0,2.0397344588339132,0.0,0.0
C4BPA,0.0,0.0,1.9948593679345004,0.0,0.0
SLC22A1,0.0,0.0,2.0269005609626602,0.0,0.0
F2,0.0,0.0,2.0144173487799364,0.0,0.0
DHCR24,0.0,0.0,2.0843957531448742,0.0,0.0
MT1M,0.0,0.0,2.0666565115150655,0.0,0.0
ITIH3,0.0,0.0,2.0788838901278592,0.0,0.0
BAAT,0.0,0.0,2.0120491206163416,0.0,0.0
CYP8B1,0.0,0.0,1.9504590964872237,0.0,0.0
ASS1,0.0,0.0,2.031592631229709,0.0,0.0
FN1,0.0,0.0,2.0697644473779575,0.0,0.0
ARG1,0.0,0.0,1.9870316597449245,0.0,0.0
TMEM176A,0.0,0.0,1.9172965442704273,0.0,0.0
ADI1,0.5807505757429271,0.0,2.325809992888767,0.0,0.0
ASGR2,0.2151621545857067,0.0,1.8925556025168995,0.0,0.0
PRAP1,0.0,0.0,1.9124802615461545,0.0,0.0
IGFBP1,0.0,0.0,1.849506293675862,0.0,0.0
ECHDC2,0.0,0.0,1.8930630155622912,0.0,0.0
MT1F,0.0,0.0,2.0111413580648456,0.0,0.0
UGT2B4,0.0,0.0,1.8127124202059888,0.0,0.0
PAH,0.40912417035093773,0.0,1.8258395630910909,0.0,0.0
ADH4,0.0,0.0,1.955289376758154,0.0,0.0
SCP2,0.5573296847195596,0.0,2.343479644207159,0.0,0.0
ETFB,0.5385013285096438,0.0,2.1438100903829,0.0,0.0
METTL7A,0.5299018421780559,0.0,2.065220144594503,0.0,0.0
LRG1,0.0,0.0,1.6573008639910924,0.0,0.0
SERPINF1,0.0,0.0,1.6918871990213356,0.0,0.0
HRSP12,0.3147595453190349,0.0,1.796780151662936,0.0,0.0
ACSM2A,0.0,0.0,1.5406671372509775,0.0,0.0
LINC00844,0.0,0.0,1.7153175105298228,0.0,0.0
AOX1,0.0,0.0,1.6949008138564556,0.0,0.0
GRHPR,0.42090672240245935,0.0,1.8126045930231685,0.0,0.0
NTHL1,0.0,0.0,1.705203263817907,0.0,0.0
AADAC,0.0,0.0,1.5832482535314236,0.0,0.0
PTGR1,0.16787972855659825,0.0,1.6465520951236774,0.0,0.0
ALDH2,0.30848040592127784,0.0,1.8418354660605851,0.0,0.0
GNMT,0.0,0.0,1.5315001944604656,0.0,0.0
ERRFI1,0.0,0.0,1.5597751900279657,0.0,0.0
EPHX1,0.0,0.0,1.6181806024538723,0.0,0.0
GSTA1,0.0,0.0,1.2951946216507084,0.0,0.0
INSIG1,0.0,0.0,1.4389029297279976,0.0,0.0
ACAA2,0.4584902565283535,0.0,1.67565641763889,0.0,0.0
ALDH1L1,0.0,0.0,1.4701212204049823,0.0,0.0
STARD10,0.5658447820778213,0.0,1.5408207740300595,0.0,0.0
F9,0.0,0.0,1.4323500386239132,0.0,0.0
MASP2,0.0,0.0,1.458592166737706,0.0,0.0
SORD,0.0,0.0,1.5233702274976224,0.0,0.0
GAMT,0.0,0.0,1.5584975793734206,0.0,0.0
GPX2,0.0,0.0,1.56464340157663,0.0,0.0
GCHFR,0.0,0.0,1.6628754367972933,0.0,0.0
HULC,0.0,0.0,1.1159366422708863,0.0,0.0
SDC1,0.5911482681072812,0.0,1.4708683584191904,0.0,0.0
CFI,0.0,0.0,1.4332425139361507,0.0,0.0
BHMT,0.0,0.0,1.378362920836316,0.0,0.0
HSPE1,0.7138770761919755,0.0,2.0377986710434612,0.0,0.0
CYP4F3,0.0,0.0,1.3708278149799304,0.0,0.0
NUPR1,0.0,0.5917399055648541,1.6088987608517382,0.0,0.0
ACAA1,0.0,0.0,1.5845222797643173,0.0,0.0
SLC39A14,0.0,0.0,1.3461723321661005,0.0,0.0
VKORC1,0.0,0.0,1.6630862747217188,0.0,0.0
ASL,0.0,0.0,1.39931933129817,0.0,0.0
HSD11B1,0.0,0.0,1.3404323276480032,0.0,0.0
MRPL41,0.2151621545857067,0.0,1.8254988020794158,0.0,0.0
FXYD1,0.0,0.0,1.4106622141351246,0.0,0.0
F12,0.0,0.0,1.2494038008528654,0.0,0.0
CYP4A11,0.0,0.0,1.3635678385833079,0.0,0.0
CALD1,0.45440621776636747,0.0,1.4650781488563913,0.0,0.0
PTMS,0.0,0.6484315733174375,1.620692605880216,0.0,0.0
ANGPTL3,0.0,0.0,1.345927569831427,0.0,0.0
AKR1C4,0.0,0.0,1.2888966536055306,0.0,0.0
APOM,0.0,0.0,1.2693054577795413,0.0,0.0
C4BPB,0.0,0.0,1.3008761185433428,0.0,0.0
HGD,0.0,0.0,1.2915531928404853,0.0,0.0
C5,0.0,0.0,1.2885777229139124,0.0,0.0
ACAT1,0.0,0.0,1.5166569834280348,0.0,0.0
ZNHIT1,0.4584902565283535,0.0,1.8747583406208395,0.0,0.0
UGT2B7,0.0,0.0,1.210050579985908,0.0,0.0
ALDH1A1,0.30848040592127784,0.0,1.4582273174339777,0.0,0.0
A2M,0.0,0.8680439726924576,1.2322835689555902,0.0,0.0
SERPINA4,0.5766363184542842,0.0,1.179072927464525,0.0,0.0
IGFBP2,0.0,0.0,1.2206423988860453,0.0,0.0
CYP2D6,0.0,0.0,1.1319207177521342,0.0,0.0
CES2,0.0,0.0,1.2951946216507084,0.0,0.0
P4HB,0.38848810465195427,0.0,1.7865149435524186,0.0,0.0
EBP,0.0,0.0,1.2211635316689178,0.0,0.0
ITIH2,0.0,0.0,1.174181768443903,0.0,0.0
CISD3,0.3169438152910172,0.0,1.5299598226644573,0.0,0.0
EI24,0.22719859239083057,0.0,1.3843919579949289,0.0,0.0
NDUFC2,0.5658447820778213,0.0,1.775847051584684,0.0,0.0
POR,0.0,0.0,1.2322333081685861,0.0,0.0
COL18A1,0.0,0.0,1.1789960243667246,0.0,0.0
IGF2,0.0,0.0,1.2073114643178262,0.0,0.0
SELENBP1,0.0,0.0,1.1989724551375989,0.0,0.0
PROC,0.0,0.0,1.0673722229507179,0.0,0.0
FKBP2,0.5575128807244049,0.0,1.6681227444135744,0.0,0.0
PGRMC1,0.0,0.0,1.2578816736704477,0.0,0.0
ACADSB,0.0,0.0,1.212232708835876,0.0,0.0
AKR1C1,0.5788179628594446,0.0,0.9576410805713034,0.0,0.0
KIF22,0.0,0.0,1.2969145292311608,0.0,0.0
TFR2,0.0,0.0,1.0287679192426245,0.0,0.0
HPN,0.0,0.0,1.100071512048207,0.0,0.0
TSKU,0.0,0.0,1.1031635123323917,0.0,0.0
FUOM,0.0,0.0,1.2948286105747298,0.0,0.0
PXMP2,0.0,0.0,1.2693054577795413,0.0,0.0
MPST,0.486391862585411,0.0,1.3879322049408034,0.0,0.0
SLIRP,0.6221280599001574,0.0,1.7134936499139017,0.0,0.0
PTP4A1,0.32234347596050017,0.0,1.2981050781058712,0.0,0.0
SMIM14,0.0,0.0,1.3493992013737348,0.0,0.0
PCBD1,0.11450632557908393,0.0,1.3016531918946648,0.0,0.0
PDIA4,0.0,0.0,1.4289839150617099,0.0,0.0
DPYS,0.0,0.0,1.1243849934655565,0.0,0.0
SLC27A5,0.0,0.0,1.0903210120441826,0.0,0.0
SLC2A2,0.0,0.0,1.113695352061951,0.0,0.0
ST6GAL1,0.0,0.6267152113501762,1.4058244863325529,0.0,0.0
COX17,0.5533350933601558,0.0,1.6924682275971714,0.0,0.0
TTC36,0.0,0.0,1.0783906536721646,0.0,0.0
MPC2,0.9533317165963502,0.0,1.443791232214992,0.0,0.0
NUDC,0.0,0.0,1.4030285656611199,0.0,0.0
HRG,0.0,0.0,1.036960259783226,0.0,0.0
LBP,0.0,0.0,0.9377028601914318,0.0,0.0
PON3,0.0,0.0,0.9868596813577679,0.0,0.0
FTCD,0.0,0.0,1.1009168126865438,0.0,0.0
