marker_ID,Basal,EC,Fat,Fib,Luminal,Lym,MP
NDUFB8,0.9018385584484465,0.4428470177097365,0.0,0.0,1.105972768897864,0.0,0.7289583436914662
EPS8L2,0.0,0.0,0.0,0.0,0.7342943254651167,0.0,0.0
LSR,0.7622828478843942,0.0,0.0,0.0,0.9524695802771337,0.0,0.0
MGC26963,0.0,0.0,0.0,0.0,0.8938528943191603,0.0,0.0
CTTN,0.6357648497401946,0.0,0.0,0.0,0.7899877498190625,0.0,0.0
CAMK2N1,0.0,0.0,0.0,0.6916512775844761,0.8364895851564735,0.0,0.0
PLEC,0.0,0.6822288603231195,0.0,0.0,0.9295581521741259,0.0,0.0
VDAC1,0.845428169420416,0.0,0.0,0.0,0.9749988154973284,0.0,0.0
TIMM13,1.128411864024158,0.0,0.0,0.7494148940745112,1.1813792972136312,0.0,0.8082313895800548
CCND1,0.0,0.0,0.0,0.0,0.6932972143178222,0.0,0.0
TNK2,0.0,0.0,0.0,0.0,0.6906565192474934,0.0,0.0
YWHAH,1.041719906798982,0.9636092083782736,0.0,0.0,1.1181541169925464,0.0,0.8104924833826861
PHYH,0.0,0.0,0.0,0.0,0.34747536992072914,0.0,0.0
IRX3,0.0,0.0,0.0,0.0,0.6022039234143188,0.0,0.0
C9orf16,0.6479611799384373,0.0,0.0,0.0,0.805859683709765,0.0,0.0
LOC51035,0.7253737097055197,0.49226092482577766,0.0,0.0,1.075835466225437,0.0,0.6763950102586832
TPI1,0.6948734475098293,0.0,0.0,0.0,0.9436591665823546,0.0,0.0
CD82,0.0,0.0,0.0,0.0,0.8541368074152396,0.0,0.3831282518569511
DRAP1,0.7368838232664608,0.0,0.0,0.0,0.907604600967396,0.0,0.0
RALGDS,0.6833455915379086,0.6624283671710379,0.0,0.0,0.7905797136902467,0.0,0.0
RHOU,0.0,0.0,0.0,0.0,0.6501534458750542,0.0,0.0
HIGD2A,0.61326023716088,0.7133946459056834,0.0,0.0,0.9804752242650596,0.0,0.6594955699793001
TAX1BP3,0.0,0.0,0.0,0.0,0.7169701611544415,0.0,0.0
