marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal,weight
1203,,,,,0.0,,,0.0
4542,0.4076556482631999,0.4076556482631999,0.4076556482631999,0.4076556482631999,0.0,0.4076556482631999,0.4076556482631999,0.4076556482631999
54472,,,,,0.0,,,0.0
837,0.9325,0.9325,0.9325,0.9325,0.0,0.9325,0.9325,0.9325
3575,0.5673514494468047,0.5673514494468047,0.5673514494468047,0.5673514494468047,0.0,0.5673514494468047,0.5673514494468047,0.5673514494468047
60314,,,,,0.0,,,0.0
51650,,,,,0.0,,,0.0
22827,,,,,0.0,,,0.0
10548,,,,,0.0,,,0.0
2067,,,,,0.0,,,0.0
6672,0.7318054695536431,0.7318054695536431,0.7318054695536431,0.7318054695536431,0.0,0.7318054695536431,0.7318054695536431,0.7318054695536431
4350,0.3566547480314346,0.3566547480314346,0.3566547480314346,0.3566547480314346,0.0,0.3566547480314346,0.3566547480314346,0.3566547480314346
10477,,,,,0.0,,,0.0
6352,0.8442393684521723,0.8442393684521723,0.8442393684521723,0.0,0.8442393684521723,0.8442393684521723,0.8442393684521723,0.8442393684521723
5790,0.806619696796057,0.806619696796057,0.806619696796057,0.0,0.806619696796057,0.806619696796057,0.806619696796057,0.806619696796057
10578,0.9383754559385138,0.9383754559385138,0.9383754559385138,0.0,0.9383754559385138,0.9383754559385138,0.9383754559385138,0.9383754559385138
3001,0.7000215804916755,0.7000215804916755,0.7000215804916755,0.0,0.7000215804916755,0.7000215804916755,0.7000215804916755,0.7000215804916755
8530,0.8178585434910726,0.8178585434910726,0.0,0.0,0.8178585434910726,0.8178585434910726,0.8178585434910726,0.8178585434910726
8519,0.0,0.0,,0.0,,,,0.0
1521,0.649598245901827,0.649598245901827,0.649598245901827,0.0,0.649598245901827,0.649598245901827,0.649598245901827,0.649598245901827
5788,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.0,0.0,0.0,0.9416881172564583,0.9416881172564583
5551,0.8278772981705362,0.8278772981705362,0.8278772981705362,0.0,0.8278772981705362,0.8278772981705362,0.8278772981705362,0.8278772981705362
