marker_ID,CM,EC,FB,MP,SMC
GPX3,7.3032441469846106,0.0,8.198673389409368,0.0,0.0
EMP2,0.0,2.789833469443608,3.581872644943392,0.0,0.0
PDCD6,0.0,0.0,2.8514872612386157,0.0,0.0
EID1,6.367044344466165,0.0,6.178065753866116,0.0,0.0
PABPC1,0.0,0.0,4.977551223669227,6.2122089324993475,0.0
HSP90AA1,9.611100225934718,0.0,0.0,10.07983538042097,0.0
CTSZ,0.0,0.0,0.0,2.3574203158946077,0.0
SMCHD1,1.6836523278882556,0.0,0.0,2.493686762237956,0.0
FCGRT,0.0,0.0,3.2697451794663337,3.4468405863223204,0.0
NAMPT,2.7896535195975325,0.0,0.0,3.086420231066874,0.0
PFN1,0.0,0.0,6.131376718235712,7.221517447612234,7.241250741694802
HSPA8,6.040721033093477,0.0,0.0,5.55425309023052,0.0
ARPC3,0.0,0.0,0.0,3.0139327010401065,0.0
SOD2,6.293331390279795,0.0,0.0,4.94656310664492,0.0
CD83,1.5828259641068474,0.0,0.0,2.634041638991844,0.0
RNF130,0.0,0.0,1.6903455019348876,2.6171179937767475,0.0
CCDC88A,0.0,0.0,0.0,2.8454925907947537,0.0
RGS2,1.8331197759710696,0.0,0.0,3.5696142006485663,0.0
CTSD,5.315417950880297,0.0,0.0,4.456119137746037,0.0
NPC2,0.0,0.0,2.7877952277340827,3.820742829046118,0.0
ELF1,0.0,1.592491409848747,0.0,2.6339452673342514,0.0
SAT1,6.3230449086869935,0.0,6.331697653257152,7.50537599464055,0.0
ARPC1B,0.0,1.7549597013150762,1.5310512912993588,2.609354308268777,0.0
ATM,0.0,0.0,1.6929699288413496,2.301948902016134,0.0
DUSP2,1.3496781550482237,0.0,0.0,2.2845123512659673,0.0
TPP1,1.6079941489545444,0.0,0.0,2.4683931952614255,0.0
RBPJ,0.0,0.0,0.0,3.4948912148988684,0.0
GRB2,2.077712389880388,0.0,0.0,2.718921901726271,0.0
TNFAIP2,0.0,0.0,1.7958581184588704,2.4780225190203145,0.0
HLA-DPB1,0.0,2.298340442123672,0.0,3.42642947927927,0.0
GPX1,2.522112259176334,0.0,0.0,3.4380999521514317,0.0
MYLK,0.0,0.0,0.0,0.0,4.578831997360291
ABCC9,0.0,0.0,0.0,0.0,3.4640792589101816
ACTN1,0.0,0.0,2.5336959070173815,0.0,3.254807779241022
ACTB,0.0,0.0,6.018751754415755,6.955404179007815,7.411280663151411
TNS1,6.079449135311585,0.0,0.0,0.0,5.320081032387675
MEF2C,0.0,0.0,0.0,2.636891901673694,3.645684309891888
pk,6.939667497746928,0.0,0.0,0.0,4.448616254711956
MYL6,0.0,9.078871799015337,9.037085884530127,0.0,10.484983001154148
PACSIN2,0.0,0.0,0.0,0.0,2.5242943580918067
MYL9,9.40990473879004,0.0,0.0,0.0,8.731084911695643
PLS3,0.0,2.033870160847879,0.0,0.0,3.708793546615989
MAGED2,0.0,0.0,2.901214055077605,0.0,3.0496395975385933
ARHGEF7,0.0,0.0,0.0,0.0,2.582363550809762
COX6A1,0.0,0.0,4.716831564380676,0.0,5.993262555308716
CALD1,0.0,0.0,7.208595515200936,0.0,9.763008737648763
MT2A,0.0,0.0,3.1244006338513257,0.0,3.875708553469109
DSTN,8.605687679126227,0.0,7.405377899532548,0.0,8.527351618700427
UBA2,0.0,0.0,0.0,0.0,2.7498741792480175
SH3BGRL,0.0,0.0,2.08118098615581,2.0335522585986405,3.1804288979796516
MAP1B,5.242349657807441,0.0,5.168643968806172,0.0,6.415509292832964
MPRIP,2.1435990570250745,0.0,0.0,0.0,2.8869744570804228
MFGE8,3.2843107736856876,0.0,3.950715847388817,0.0,4.657155213507646
RSU1,0.0,0.0,2.1381085493532566,0.0,2.7243704517313607
ITGB1,4.402588378712406,0.0,4.355129738461289,0.0,5.560273223092087
EPS8,0.0,0.0,2.3581936269810813,0.0,4.236692669199071
SPARCL1,0.0,11.373468338405933,12.100161525922937,0.0,12.486093958111814
